"","decimalLongitude","decimalLatitude"
"1",-4.475441,36.860397
"2",-4.75085,36.908455
"3",3.311262,39.737885
"4",3.289976,39.743229
"5",3.155394,39.8382
"6",-97.771759,30.268982
"7",-7.574322,37.193233
"8",-7.98002,37.029665
"9",3.171848,39.847572
"10",-5.439952,36.773916
"11",3.984152,40.007996
"12",-7.971659,37.039203
"13",2.158076,41.44192
"14",-5.343611,36.120556
"15",-4.787732,36.931744
"16",-4.796793,36.931007
"17",10.39556,43.71917
"18",-6.168213,37.525189
"19",3.085527,39.921059
"20",3.311262,39.737885
"21",-5.561414,36.996317
"22",3.289976,39.743229
"23",3.335663,39.736477
"24",3.124495,39.852039
"25",3.352332,39.69619
"26",3.308773,39.751545
"27",3.114023,39.79937
"28",-5.745803,36.106578
"29",-5.554823,34.073472
"30",-5.555752,34.072996
"31",-6.546489,37.144821
"32",-4.457032,36.670479
"33",-6.566691,37.0485
"34",3.016262,39.877205
"35",1.294092,39.02232
"36",3.318558,39.754517
"37",3.329372,39.759068
"38",9.80928,40.48024
"39",3.091863,39.863361
"40",3.085527,39.921059
"41",-5.775032,36.088921
"42",3.085527,39.921059
"43",-5.66488,36.113491
"44",-5.907152,37.702534
"45",-6.566691,37.0485
"46",-6.546489,37.144821
"47",-8.202324,37.155186
"48",14.399979,35.858458
"49",0.07203,38.638273
"50",0.071603,38.634377
"51",0.074043,38.632633
"52",-5.981717,36.190987
"53",-0.193975,39.754105
"54",-6.419344,37.13075
"55",-4.73636,36.623219
"56",-4.705029,36.618748
"57",-8.012252,37.025204
"58",-8.982739,37.030514
"59",-6.419531,37.1308
"60",3.06359,39.91131
"61",3.287847,39.743355
"62",3.082868,39.917542
"63",-5.043918,36.531743
"64",2.172745,41.370937
"65",-0.4127,39.681237
"66",1.810515,41.317862
"67",-5.270007,36.691289
"68",-6.415683,37.126417
"69",-7.43995,37.215258
"70",-4.457291,36.674041
"71",8.172548,40.61318
"72",-4.985531,36.486289
"73",12.817695,38.071732
"74",8.406423,39.902186
"75",-7.979273,37.048605
"76",3.104661,39.829884
"77",13.233695,45.7024
"78",-5.5543,34.072311
"79",-8.026303,37.057645
"80",35.22353,31.774933
"81",-7.439777,37.215164
"82",-5.986722,37.391978
"83",-6.595287,37.427571
"84",1.561387,38.994858
"85",3.38273,39.580581
"86",-5.773957,36.048149
"87",-97.752995,30.271968
"88",15.33287,37.00442
"89",-115.14548,36.177822
"90",-6.198546,37.533607
"91",-5.219181,37.752237
"92",-5.712538,36.189446
"93",-5.590331,36.032609
"94",8.402963,39.906892
"95",8.156978,40.577459
"96",-5.776133,36.103667
"97",12.82684,37.929709
"98",8.983794,45.850159
"99",12.555141,44.078953
"100",-5.864402,36.871241
"101",-5.38447,37.232853
"102",-9.330222,38.941383
"103",-1.8958,37.196809
"104",-4.796389,36.931111
"105",-5.345833,36.133333
"106",-8.748335,37.126581
"107",-6.486595,37.124502
"108",-5.23805,36.72711
"109",-89.24709,13.66933
"110",-0.185318,38.579888
"111",-0.678577,38.030853
"112",-0.697868,38.26984
"113",3.115654,39.924744
"114",6.62549,43.15327
"115",6.62549,43.15327
"116",6.62549,43.15327
"117",6.62549,43.15327
"118",6.62549,43.15327
"119",6.62549,43.15327
"120",6.62549,43.15327
"121",6.62549,43.15327
"122",6.62549,43.15327
"123",6.62549,43.15327
"124",6.62549,43.15327
"125",6.62549,43.15327
"126",6.62549,43.15327
"127",6.62549,43.15327
"128",6.62549,43.15327
"129",6.62549,43.15327
"130",6.62549,43.15327
"131",6.62549,43.15327
"132",6.62549,43.15327
"133",6.62549,43.15327
"134",6.62549,43.15327
"135",6.62549,43.15327
"136",6.62549,43.15327
"137",6.62549,43.15327
"138",6.62549,43.15327
"139",6.62549,43.15327
"140",6.62549,43.15327
"141",6.62549,43.15327
"142",6.62549,43.15327
"143",6.62549,43.15327
"144",6.62549,43.15327
"145",6.62549,43.15327
"146",6.62549,43.15327
"147",6.62549,43.15327
"148",6.38001,43.16125
"149",6.01166,43.17216
"150",6.38001,43.16125
"151",6.62549,43.15327
"152",6.62549,43.15327
"153",6.62549,43.15327
"154",6.62549,43.15327
"155",6.62549,43.15327
"156",6.62549,43.15327
"157",6.62549,43.15327
"158",6.62549,43.15327
"159",6.62549,43.15327
"160",6.62549,43.15327
"161",6.01166,43.17216
"162",6.62549,43.15327
"163",6.62549,43.15327
"164",6.62549,43.15327
"165",6.62549,43.15327
"166",6.62549,43.15327
"167",6.62549,43.15327
"168",6.62549,43.15327
"169",6.62549,43.15327
"170",6.62549,43.15327
"171",6.62549,43.15327
"172",6.62549,43.15327
"173",6.62549,43.15327
"174",6.38001,43.16125
"175",6.62549,43.15327
"176",6.62549,43.15327
"177",6.62549,43.15327
"178",6.62549,43.15327
"179",6.62549,43.15327
"180",6.62549,43.15327
"181",3.115654,39.924744
"182",3.311262,39.737885
"183",3.289976,39.743229
"184",2.161045,41.365345
"185",7.02487,43.58948
"186",7.02487,43.58948
"187",7.02487,43.58948
"188",7.14849,43.58483
"189",6.12959,43.07879
"190",6.62549,43.15327
"191",7.40947,43.75478
"192",7.155,43.67468
"193",7.155,43.67468
"194",7.02487,43.58948
"195",7.155,43.67468
"196",7.02487,43.58948
"197",7.16808,43.8544
"198",7.16808,43.8544
"199",6.62549,43.15327
"200",6.62549,43.15327
"201",5.64319,43.18182
"202",6.62549,43.15327
"203",7.16153,43.76454
"204",7.40947,43.75478
"205",7.16153,43.76454
"206",-15.564167,27.760278
"207",-4.70547,36.61718
"208",3.085527,39.921059
"209",175.233897,-39.937419
"210",-7.495218,37.227545
"211",-9.662132,31.592574
"212",7.14849,43.58483
"213",6.12959,43.07879
"214",7.155,43.67468
"215",7.155,43.67468
"216",7.03119,43.67934
"217",7.155,43.67468
"218",5.88436,43.08564
"219",7.53341,43.74968
"220",7.14849,43.58483
"221",6.12959,43.07879
"222",7.14849,43.58483
"223",7.14849,43.58483
"224",7.14849,43.58483
"225",7.155,43.67468
"226",7.03119,43.67934
"227",7.03119,43.67934
"228",7.155,43.67468
"229",7.03119,43.67934
"230",7.53341,43.74968
"231",5.88436,43.08564
"232",7.155,43.67468
"233",-8.97803,37.028606
"234",-8.793089,37.074738
"235",8.163915,40.572189
"236",12.786541,38.10228
"237",8.440042,39.882019
"238",12.825336,37.585739
"239",0.327533,40.507748
"240",3.184639,39.945539
"241",-90.259083,38.614472
"242",6.00699,43.08229
"243",6.62549,43.15327
"244",7.14849,43.58483
"245",7.14849,43.58483
"246",7.14849,43.58483
"247",7.14849,43.58483
"248",6.62549,43.15327
"249",6.62549,43.15327
"250",6.90736,43.68386
"251",5.88436,43.08564
"252",5.88885,43.17552
"253",6.62549,43.15327
"254",6.62549,43.15327
"255",6.13446,43.16866
"256",6.62549,43.15327
"257",6.12959,43.07879
"258",6.12474,42.98893
"259",6.12474,42.98893
"260",6.62549,43.15327
"261",6.90736,43.68386
"262",7.28551,43.75973
"263",7.03119,43.67934
"264",7.03119,43.67934
"265",7.03119,43.67934
"266",7.02487,43.58948
"267",7.03119,43.67934
"268",6.90736,43.68386
"269",6.90123,43.59399
"270",-5.344849,36.132053
"271",-4.809128,36.977982
"272",-5.241709,37.830383
"273",-5.263753,37.842342
"274",-2.459066,36.839301
"275",-2.458839,36.839414
"276",-2.461427,36.836547
"277",-2.458611,36.839444
"278",-5.501709,36.063335
"279",-5.66488,36.113491
"280",-6.840539,33.997264
"281",2.98063,36.8032
"282",7.02487,43.58948
"283",7.14849,43.58483
"284",7.14849,43.58483
"285",7.14849,43.58483
"286",5.64319,43.18182
"287",7.03119,43.67934
"288",7.14849,43.58483
"289",-5.972275,36.179367
"290",5.76173,43.08885
"291",7.14849,43.58483
"292",6.62549,43.15327
"293",7.14849,43.58483
"294",7.14849,43.58483
"295",5.76173,43.08885
"296",5.76173,43.08885
"297",6.90123,43.59399
"298",-6.279942,37.526482
"299",8.158886,40.574514
"300",-6.049375,36.613608
"301",-5.573416,36.016785
"302",7.950153,51.616657
"303",2.163961,41.41623
"304",-8.003612,37.199444
"305",12.800557,38.095287
"306",2.996173,39.322739
"307",2.996173,39.322739
"308",12.835878,37.939672
"309",-8.013056,37.026112
"310",6.00699,43.08229
"311",6.00699,43.08229
"312",-7.973519,37.040337
"313",9.523126,39.131007
"314",6.76577,43.41863
"315",8.983794,45.850159
"316",-6.128011,36.29864
"317",7.040176,43.553028
"318",-1.146667,37.922222
"319",3.082915,39.916612
"320",10.98793,43.69604
"321",5.88436,43.08564
"322",6.00699,43.08229
"323",6.00699,43.08229
"324",-4.299772,36.719309
"325",13.051033,41.23578
"326",6.63114,43.24312
"327",6.63114,43.24312
"328",6.63114,43.24312
"329",6.63114,43.24312
"330",6.63114,43.24312
"331",6.38001,43.16125
"332",5.64319,43.18182
"333",6.63114,43.24312
"334",6.63114,43.24312
"335",-8.954201,37.035961
"336",-6.14592,37.560545
"337",3.3149,42.3192
"338",39.742384,43.762357
"339",39.742762,43.763071
"340",39.743715,43.761712
"341",39.743512,43.761845
"342",39.74276,43.762678
"343",39.741505,43.761156
"344",39.743698,43.7617
"345",39.741304,43.761324
"346",39.742863,43.76281
"347",39.742592,43.76266
"348",39.742405,43.761801
"349",39.742728,43.762658
"350",39.743796,43.762677
"351",2.163139,41.418724
"352",6.63114,43.24312
"353",6.63114,43.24312
"354",6.63114,43.24312
"355",6.6368,43.33298
"356",7.40947,43.75478
"357",5.88436,43.08564
"358",7.27878,43.66988
"359",7.02487,43.58948
"360",6.12474,42.98893
"361",6.12474,42.98893
"362",7.14849,43.58483
"363",6.63114,43.24312
"364",7.03119,43.67934
"365",6.63114,43.24312
"366",6.63114,43.24312
"367",6.6368,43.33298
"368",5.88436,43.08564
"369",6.12474,42.98893
"370",6.63114,43.24312
"371",7.14849,43.58483
"372",6.12474,42.98893
"373",6.12959,43.07879
"374",6.90736,43.68386
"375",6.6368,43.33298
"376",7.27878,43.66988
"377",-0.54,39.7
