"","decimalLongitude","decimalLatitude"
"1",35.185275,31.783725
"2",35.177811,31.770519
"3",-8.775027,39.807549
"4",35.687179,32.760054
"5",-9.2425,38.771389
"6",-4.705263,36.61858
"7",-9.207626,38.776144
"8",-9.295834,38.735554
"9",-7.931699,39.086178
"10",-9.086441,38.660959
"11",-9.056813,38.461457
"12",-7.980182,37.048928
"13",-9.285278,38.834444
"14",-9.288056,38.835833
"15",-8.391856,38.417139
"16",-8.592024,39.464886
"17",-8.775538,39.807586
"18",-8.974722,38.743057
"19",-8.985454,38.685794
"20",34.873591,32.366841
"21",-7.96303,37.043654
"22",-9.387577,39.369461
"23",-9.281033,39.090385
"24",35.184109,31.768137
"25",-9.142272,38.659642
"26",-9.240556,38.757222
"27",-8.846389,39.434167
"28",-8.842222,39.531389
"29",35.183724,31.770613
"30",-7.43383,37.205315
"31",-8.001315,39.211552
"32",-8.479516,39.886344
"33",34.997604,32.722179
"34",36.021228,34.472688
"35",35.166283,31.790231
"36",-9.316164,38.702902
"37",34.922377,32.576337
"38",35.087894,31.803178
"39",35.185214,31.825639
"40",36.202909,34.678807
"41",35.66861,33.04361
"42",35.740309,32.957805
"43",-8.799642,42.250675
"44",-9.156318,38.496523
"45",-8.917562,38.775167
"46",35.647602,32.77499
"47",35.743657,33.130644
"48",26.015694,38.183784
"49",-4.809128,36.977982
"50",35.020278,32.756706
"51",-8.012222,37.026669
"52",-9.046028,38.616858
"53",-7.972613,37.040117
"54",-8.954628,37.035811
"55",14.499327,35.893913
"56",35.696815,32.740784
"57",35.662644,33.039163
"58",35.766094,33.134912
"59",-8.943998,39.363877
"60",35.690281,33.166365
"61",35.714391,32.984903
"62",35.699444,33.282776
"63",26.4997,39.176524
"64",-8.47302,39.97396
"65",-9.40461,39.0734
"66",-8.4837,38.53227
"67",35.73235,32.806173
"68",-8.94263,38.53339
"69",-8.36976,38.44159
"70",35.775012,33.134405
"71",35.783447,33.116847
"72",35.783268,33.132998
"73",35.77283,33.12972
"74",35.76177,33.13162
"75",35.689433,32.808876
"76",-7.980709,37.030993
"77",-8.81976,41.68663
"78",-8.47302,39.97396
"79",-8.94263,38.53339
"80",-9.05766,38.89386
"81",-8.59226,39.61404
"82",-9.17297,38.89375
"83",-8.02724,38.34912
"84",-8.94242,38.80375
"85",-9.28719,38.62317
"86",-8.37892,37.36009
"87",-9.17297,38.89375
"88",-9.40257,38.71295
"89",-9.05788,39.1642
"90",-9.1743,39.43441
"91",-8.94198,39.34442
"92",-8.25703,38.26068
"93",-9.28828,38.89352
"94",-9.40308,38.80306
"95",-9.05788,39.1642
"96",-9.05788,39.1642
"97",-9.40359,38.89318
"98",-8.25703,38.26068
"99",-7.67407,38.88635
"100",-7.43361,39.33389
"101",-7.66043,39.60703
"102",-8.03788,37.53807
"103",-8.03672,37.62819
"104",-8.82811,38.44316
"105",-8.94263,38.53339
"106",-8.9422,39.07409
"107",-8.47371,39.88386
"108",-7.91683,38.07779
"109",-8.03083,38.07879
"110",-8.03083,38.07879
"111",-8.03083,38.07879
"112",-9.28975,39.25397
"113",-8.03083,38.07879
"114",-7.47573,37.35189
"115",-8.94242,38.80375
"116",-8.71099,39.07375
"117",-8.94263,38.53339
"118",-9.1743,39.43441
"119",-8.71099,39.07375
"120",-8.71099,39.07375
"121",-8.1263,39.61147
"122",-8.12288,39.88174
"123",-8.59226,39.61404
"124",20.95659,37.74078
"125",-8.3576,39.79318
"126",-9.28828,38.89352
"127",-9.40359,38.89318
"128",-8.48689,38.08166
"129",-8.47371,39.88386
"130",-8.35676,39.88328
"131",-9.17452,39.52452
"132",-9.0581,39.43453
"133",-7.69523,37.71504
"134",-7.90601,38.79864
"135",-7.23297,38.0695
"136",-9.05773,38.98398
