"","decimalLongitude","decimalLatitude"
"1",4.47069,50.99792
"2",4.90165,50.28572
"3",3.70661,51.03909
"4",3.95344,50.77338
"5",4.72084,50.91005
"6",-122.0649,36.983797
"7",-122.05333,36.997529
"8",-122.05344,36.994945
"9",-122.06211,36.998508
"10",5.25031,43.33988
"11",-0.22,39.74
"12",2.92541,51.21803
"13",3.71935,51.02372
"14",-49.411111,-28.7025
"15",5.23247,50.52621
"16",5.32663,50.49067
"17",-43.509444,-20.396389
"18",3.06078,42.4948
"19",3.06078,42.4948
"20",5.42328,43.31349
"21",5.55557,43.2491
"22",5.46363,43.40519
"23",5.56554,43.25901
"24",5.37792,43.21063
"25",3.03373,43.01065
"26",3.79333,47.81
"27",5.40785,43.21533
"28",3.8836,50.9731
"29",5.4112,43.33802
"30",3.54387,43.75356
"31",5.159935,43.371865
"32",-0.95,39.19
"33",4.46164,50.8289
"34",5.32661,50.49067
"35",5.32661,50.49067
"36",-47.077171,-22.87025
"37",-70.742714,7.010883
"38",2.594005,42.832005
"39",2.78661,42.7449
"40",2.754575,42.611675
"41",2.91248,42.841995
"42",2.52333,42.7646
"43",3.119405,42.520995
"44",3.15452,42.43669
"45",3.14926,42.44699
"46",2.76614,42.741515
"47",2.78042,42.749805
"48",2.61937,42.81596
"49",2.75838,42.60457
"50",9.33472,42.86222
"51",5.38187,43.22272
"52",-43.416111,-20.377778
"53",-43.416111,-20.377778
"54",2.60304,42.76079
"55",2.513275,42.672355
"56",2.466715,42.79167
"57",2.610145,42.76542
"58",4.83755,43.75775
"59",4.79154,43.75826
"60",-43.416111,-20.377778
"61",2.64982,42.77009
"62",2.648275,42.765965
"63",2.602865,42.67202
"64",4.80503,43.74914
"65",-3.5623,48.70938
"66",-47.077171,-22.87025
"67",5.97158,43.10484
"68",3.87947,43.5036
"69",3.85313,43.63152
"70",2.60137,51.10732
"71",2.94192,51.22982
"72",3.97151,50.94389
"73",6.00699,43.08229
"74",6.88904,43.41427
"75",5.64319,43.18182
"76",5.88885,43.17552
"77",5.64319,43.18182
"78",5.40121,43.27748
"79",5.40496,43.36739
"80",5.172,43.73235
"81",5.39747,43.18757
"82",5.88885,43.17552
"83",5.88885,43.17552
"84",5.39747,43.18757
"85",6.88904,43.41427
"86",5.40121,43.27748
"87",5.40121,43.27748
"88",3.80809,43.86224
"89",5.03107,44.18737
"90",3.70667,51.0391
"91",-122.062261,36.998349
"92",-122.061328,36.99804
"93",-122.059833,36.998369
"94",-122.068336,36.990833
"95",-122.059833,36.998369
"96",-122.061328,36.99804
"97",6.12959,43.07879
"98",6.12959,43.07879
"99",6.12959,43.07879
"100",6.12959,43.07879
"101",6.12959,43.07879
"102",5.28885,43.54992
"103",5.28885,43.54992
"104",5.40121,43.27748
"105",6.12959,43.07879
"106",6.12959,43.07879
"107",5.52034,43.18476
"108",5.40121,43.27748
"109",5.40121,43.27748
"110",3.86576,43.64796
"111",3.86573,43.64728
"112",3.05351,43.09261
"113",5.03373,43.78705
"114",3.87011,43.83284
"115",3.27314,51.05255
"116",3.78547,50.92669
"117",5.04923,51.26272
"118",3.16953,45.67766
"119",6.25724,43.16503
"120",5.39747,43.18757
"121",5.40121,43.27748
"122",5.40121,43.27748
"123",5.52427,43.27467
"124",5.40121,43.27748
"125",5.52427,43.27467
"126",6.25724,43.16503
"127",6.25724,43.16503
"128",5.40121,43.27748
"129",7.28551,43.75973
"130",5.88885,43.17552
"131",7.41641,43.84462
"132",6.25724,43.16503
"133",4.79981,43.73914
"134",5.39747,43.18757
"135",5.39747,43.18757
"136",5.40121,43.27748
"137",5.40121,43.27748
"138",5.40121,43.27748
"139",5.52427,43.27467
"140",5.39747,43.18757
"141",5.40121,43.27748
"142",5.40121,43.27748
"143",6.12959,43.07879
"144",5.40121,43.27748
"145",6.12959,43.07879
"146",5.52427,43.27467
"147",5.40121,43.27748
"148",5.40121,43.27748
"149",5.88885,43.17552
"150",4.42794,51.17245
"151",3.70665,51.03909
"152",3.04536,50.97512
"153",2.92717,51.21817
"154",-90.259083,38.614472
"155",4.91015,50.26748
"156",5.15462,43.45683
"157",6.00699,43.08229
"158",6.00699,43.08229
"159",5.65144,43.36163
"160",5.03834,43.46491
"161",5.39747,43.18757
"162",5.65144,43.36163
"163",5.03834,43.46491
"164",5.65144,43.36163
"165",5.88885,43.17552
"166",5.64731,43.27173
"167",5.88885,43.17552
"168",5.64319,43.18182
"169",6.37476,43.07139
"170",5.64731,43.27173
"171",5.64731,43.27173
"172",5.17542,43.8223
"173",4.92388,43.73701
"174",5.88436,43.08564
"175",7.28551,43.75973
"176",5.88885,43.17552
"177",4.81406,44.189
"178",5.65975,43.54146
"179",5.65975,43.54146
"180",5.40121,43.27748
"181",5.40496,43.36739
"182",5.64731,43.27173
"183",5.172,43.73235
"184",5.29244,43.63986
"185",5.64731,43.27173
"186",6.00699,43.08229
"187",5.05117,43.82471
"188",5.64731,43.27173
"189",5.39747,43.18757
"190",5.65144,43.36163
"191",5.39747,43.18757
"192",5.39747,43.18757
"193",5.88885,43.17552
"194",5.88885,43.17552
"195",5.17542,43.8223
"196",5.17542,43.8223
"197",5.17542,43.8223
"198",5.88885,43.17552
"199",7.28551,43.75973
"200",5.88885,43.17552
"201",5.17542,43.8223
"202",7.16153,43.76454
"203",5.88885,43.17552
"204",5.29244,43.63986
"205",3.77715,43.78106
"206",2.94192,51.22974
"207",2.81634,42.94422
"208",2.81662,42.85429
"209",2.81662,42.85429
"210",3.18225,42.49466
"211",2.81662,42.85429
"212",2.93875,42.94435
"213",2.81634,42.94422
"214",2.81634,42.94422
"215",2.81662,42.85429
"216",2.81662,42.85429
"217",2.93884,42.85443
"218",2.81634,42.94422
"219",3.18197,42.40477
"220",2.81662,42.85429
"221",2.81662,42.85429
"222",2.81662,42.85429
"223",3.06078,42.4948
"224",2.81662,42.85429
"225",2.81662,42.85429
"226",2.81662,42.85429
"227",2.81662,42.85429
"228",2.81634,42.94422
"229",2.81577,43.12409
"230",2.81662,42.85429
"231",2.81662,42.85429
"232",2.81662,42.85429
"233",2.81662,42.85429
"234",2.81662,42.85429
"235",2.81634,42.94422
"236",2.81662,42.85429
"237",2.81662,42.85429
"238",3.18197,42.40477
"239",3.18225,42.49466
"240",2.81662,42.85429
"241",2.81662,42.85429
"242",2.81662,42.85429
"243",2.912235,42.839855
"244",2.997735,42.615935
"245",3.01666,42.62368
"246",2.94961,42.98028
"247",2.7956,42.97468
"248",2.70622,42.87977
"249",3.04662,43.05455
"250",2.8729,42.99209
"251",2.87873,42.99063
"252",5.64731,43.27173
"253",5.17885,43.91226
"254",5.52821,43.36458
"255",6.03053,43.53174
"256",5.52034,43.18476
"257",5.52821,43.36458
"258",5.52821,43.36458
"259",5.65144,43.36163
"260",5.64731,43.27173
"261",6.03053,43.53174
"262",5.52034,43.18476
"263",5.39747,43.18757
"264",5.52034,43.18476
"265",5.39747,43.18757
"266",5.64731,43.27173
"267",5.52034,43.18476
"268",5.52034,43.18476
"269",5.64731,43.27173
"270",5.04795,43.73475
"271",7.28551,43.75973
"272",5.52821,43.36458
"273",5.64731,43.27173
"274",5.65144,43.36163
"275",5.64319,43.18182
"276",4.79698,43.64918
"277",5.64731,43.27173
"278",6.03053,43.53174
"279",5.40121,43.27748
"280",5.64731,43.27173
"281",6.12959,43.07879
"282",5.53216,43.4545
"283",5.17885,43.91226
"284",5.64731,43.27173
"285",5.17885,43.91226
"286",6.89513,43.50413
"287",5.39747,43.18757
"288",5.17885,43.91226
"289",7.113,43.59898
"290",4.62458,50.90776
"291",5.6681,43.72132
"292",5.40121,43.27748
"293",4.79981,43.73914
"294",6.01636,43.26205
"295",6.01636,43.26205
"296",5.39747,43.18757
"297",5.39747,43.18757
"298",5.39747,43.18757
"299",5.52821,43.36458
"300",5.52821,43.36458
"301",6.01636,43.26205
"302",5.52821,43.36458
"303",5.52821,43.36458
"304",6.01636,43.26205
"305",5.39747,43.18757
"306",5.39747,43.18757
"307",5.65559,43.45155
"308",5.76173,43.08885
"309",5.39747,43.18757
"310",5.39747,43.18757
"311",4.79981,43.73914
"312",4.79981,43.73914
"313",5.6681,43.72132
"314",5.64731,43.27173
"315",5.64731,43.27173
"316",6.01636,43.26205
"317",5.6681,43.72132
"318",5.78772,43.62828
"319",5.52821,43.36458
"320",6.01636,43.26205
"321",5.52821,43.36458
"322",6.01636,43.26205
"323",5.76173,43.08885
"324",5.76173,43.08885
"325",5.172,43.73235
"326",5.39747,43.18757
"327",5.39747,43.18757
"328",4.61002,51.15019
"329",4.72847,50.88541
"330",2.85927,51.20544
"331",3.72798,51.04213
"332",6.02107,43.35194
"333",6.02107,43.35194
"334",6.15409,43.52822
"335",5.89787,43.35531
"336",6.02107,43.35194
"337",5.28527,43.45999
"338",5.89787,43.35531
"339",5.89787,43.35531
"340",4.92014,44.74883
"341",5.69529,50.90531
"342",4.46231,51.13475
"343",-44.8528,-22.6644
"344",-44.8528,-22.6644
"345",5.04153,43.55485
"346",2.45348,42.73988
"347",2.61937,42.81596
"348",5.5441,43.72429
"349",5.5441,43.72429
"350",5.88885,43.17552
"351",5.88885,43.17552
"352",5.42008,43.72712
"353",5.5441,43.72429
"354",5.88885,43.17552
"355",5.5441,43.72429
"356",5.06755,44.16752
"357",4.92022,44.74882
"358",3.1481,42.47773
"359",3.65866,51.05425
"360",4.61002,51.15018
"361",5.22449,50.52662
"362",5.33883,43.49809
"363",6.13446,43.16866
"364",3.67096,43.62308
"365",3.74385,50.9942
"366",5.44008,50.34783
"367",4.54946,50.07964
"368",5.42112,43.45368
"369",5.41182,43.44416
"370",5.6681,43.72132
"371",-75.495525,5.055659
"372",5.25484,50.52872
"373",5.64319,43.18182
"374",5.64319,43.18182
"375",5.64319,43.18182
"376",5.64319,43.18182
"377",5.64319,43.18182
"378",5.88885,43.17552
"379",5.76603,43.17874
"380",5.64319,43.18182
"381",5.58047,43.35998
"382",5.38791,43.53601
"383",39.742652,43.762851
"384",3.79203,43.86702
"385",3.97154,50.94391
"386",2.83105,43.28764
"387",2.82951,43.10794
"388",6.09435,43.51101
"389",6.09894,43.20497
"390",5.39747,43.18757
"391",5.39747,43.18757
"392",5.52034,43.18476
"393",5.52034,43.18476
"394",5.52034,43.18476
"395",5.52034,43.18476
"396",5.52034,43.18476
"397",6.15409,43.52822
"398",5.52034,43.18476
"399",5.52034,43.18476
"400",5.52034,43.18476
"401",5.52034,43.18476
"402",5.52034,43.18476
"403",5.28527,43.45999
"404",5.52034,43.18476
"405",5.52034,43.18476
"406",5.28527,43.45999
"407",5.52034,43.18476
"408",5.39747,43.18757
"409",4.79981,43.73914
"410",5.40121,43.27748
"411",5.03515,43.37498
"412",5.52034,43.18476
"413",6.15409,43.52822
"414",5.52034,43.18476
"415",6.6368,43.33298
"416",5.52034,43.18476
"417",6.15409,43.52822
"418",5.28527,43.45999
"419",5.52034,43.18476
"420",5.52034,43.18476
"421",5.52034,43.18476
"422",5.79965,43.84118
"423",-0.45,38.64
"424",-0.51,38.21
"425",-4.2573,37.3839
"426",2.82875,43.01811
"427",2.80455,43.05415
"428",4.10366,43.8676
"429",3.09998,43.16027
"430",5.96531,43.42546
"431",5.00244,43.4176
"432",9.15559,42.405
"433",6.13446,43.16866
"434",6.25724,43.16503
"435",4.79981,43.73914
"436",5.52034,43.18476
"437",5.52034,43.18476
"438",5.27815,43.28014
"439",5.52034,43.18476
"440",5.39747,43.18757
"441",4.79981,43.73914
"442",5.52034,43.18476
"443",5.52034,43.18476
"444",5.52034,43.18476
"445",5.65144,43.36163
"446",5.04795,43.73475
"447",5.52034,43.18476
"448",6.25724,43.16503
"449",5.52821,43.36458
"450",5.52821,43.36458
"451",5.52034,43.18476
"452",6.25724,43.16503
"453",5.30328,43.9097
"454",5.52821,43.36458
"455",5.52821,43.36458
"456",5.52034,43.18476
"457",5.52034,43.18476
"458",6.25724,43.16503
"459",5.52034,43.18476
"460",6.25724,43.16503
"461",6.49189,42.97762
"462",5.04795,43.73475
"463",5.52034,43.18476
"464",5.52034,43.18476
"465",4.67573,43.74112
"466",5.52821,43.36458
"467",6.25724,43.16503
"468",5.52821,43.36458
"469",5.779,43.44845
"470",5.52821,43.36458
"471",6.25724,43.16503
"472",6.25724,43.16503
"473",5.52034,43.18476
"474",5.52034,43.18476
"475",5.52034,43.18476
"476",4.67573,43.74112
"477",4.73895,36.63679
"478",4.6362,36.46574
"479",-0.46,38.67
"480",-3.67173,36.75257
"481",0.65222,38.35031
"482",2.8169,42.76437
"483",2.69487,42.76409
"484",2.81662,42.85429
"485",2.81662,42.85429
"486",5.6681,43.72132
"487",5.40121,43.27748
"488",4.79981,43.73914
"489",6.01636,43.26205
"490",6.01636,43.26205
"491",5.39747,43.18757
"492",5.39747,43.18757
"493",5.39747,43.18757
"494",5.52821,43.36458
"495",5.52821,43.36458
"496",6.01636,43.26205
"497",5.52821,43.36458
"498",5.52821,43.36458
"499",6.01636,43.26205
"500",5.39747,43.18757
"501",5.39747,43.18757
"502",5.65559,43.45155
"503",5.76173,43.08885
"504",5.39747,43.18757
"505",5.39747,43.18757
"506",4.79981,43.73914
"507",4.79981,43.73914
"508",5.6681,43.72132
"509",5.64731,43.27173
"510",5.64731,43.27173
"511",6.01636,43.26205
"512",5.6681,43.72132
"513",5.78772,43.62828
"514",5.52821,43.36458
"515",6.01636,43.26205
"516",5.52821,43.36458
"517",6.01636,43.26205
"518",5.76173,43.08885
"519",5.76173,43.08885
"520",5.172,43.73235
"521",5.39747,43.18757
"522",5.39747,43.18757
"523",4.61002,51.15019
"524",4.72847,50.88541
"525",2.85927,51.20544
"526",3.72798,51.04213
"527",6.02107,43.35194
"528",6.02107,43.35194
"529",6.15409,43.52822
"530",5.89787,43.35531
"531",6.02107,43.35194
"532",5.28527,43.45999
"533",5.89787,43.35531
"534",5.89787,43.35531
"535",4.92014,44.74883
"536",5.69529,50.90531
"537",4.46231,51.13475
"538",-44.8528,-22.6644
"539",-44.8528,-22.6644
"540",5.04153,43.55485
"541",2.45348,42.73988
"542",2.61937,42.81596
"543",5.5441,43.72429
"544",5.5441,43.72429
"545",5.88885,43.17552
"546",5.88885,43.17552
