"","decimalLongitude","decimalLatitude"
"1",-7.974865,37.042502
"2",-2.054763,36.814362
"3",-7.982602,37.05037
"4",-7.655313,37.634697
"5",3.20767,42.342256
"6",-7.97651,37.043628
"7",-8.882007,38.553144
"8",-7.975479,37.044563
"9",-8.002719,38.911736
"10",-7.593157,37.373955
"11",-5.906635,36.633105
"12",-7.975831,37.043569
"13",-3.714315,36.733309
"14",34.649691,31.974489
"15",34.865439,32.352132
"16",-6.372413,36.622759
"17",34.89777,32.231412
"18",-8.024699,37.030889
"19",-9.103251,38.641617
"20",-7.967111,37.040577
"21",-7.537941,37.259193
"22",-7.941329,37.102939
"23",-8.746878,37.080361
"24",-8.000782,37.078193
"25",3.210276,41.931508
"26",-9.166725,38.637143
"27",2.711528,41.645895
"28",-3.032255,37.008922
"29",9.388903,44.283308
"30",138.69008,-34.96231
"31",-9.051108,38.637947
"32",-7.972911,37.039578
"33",-8.024054,37.030308
"34",-6.628991,37.048065
"35",8.24456,44.14841
"36",8.25586,44.1461
"37",-6.628991,37.048065
"38",-8.008687,37.605431
"39",3.187983,42.295044
"40",-6.566691,37.0485
"41",6.02138,43.0984
"42",6.91694,43.44993
"43",6.91694,43.44993
"44",-5.077261,36.488158
"45",9.424942,42.686268
"46",-6.576583,37.494965
"47",35.959167,35.670297
"48",-6.146582,37.560803
"49",-3.521911,37.12801
"50",3.109548,42.52277
"51",34.989451,32.216999
"52",34.807184,32.255356
"53",6.594946,43.448213
"54",34.838454,32.272959
"55",-8.773164,37.72049
"56",27.955708,36.17506
"57",27.959612,36.188721
"58",-8.202324,37.155186
"59",7.702299,36.521155
"60",-6.498349,37.125134
"61",-6.566691,37.0485
"62",-5.922318,39.813282
"63",27.988186,36.170586
"64",27.955708,36.17506
"65",27.959612,36.188721
"66",-6.532058,37.135139
"67",-7.374617,39.389829
"68",3.06078,42.4948
"69",9.2841,42.69204
"70",-3.99736,38.056019
"71",-4.000435,38.2813
"72",-2.014601,37.154804
"73",-9.094444,38.456099
"74",2.576511,42.693996
"75",-9.095366,38.638475
"76",-4.40642,36.732728
"77",-7.91818,39.018181
"78",-9.094444,38.447777
"79",-8.676944,39.049167
"80",2.683306,41.647981
"81",-0.263645,39.844628
"82",-7.978818,39.01862
"83",10.20713,48.873985
"84",28.003529,36.096222
"85",10.392817,42.728683
"86",-1.613426,46.978195
"87",10.124359,42.747534
"88",6.42546,43.347913
"89",3.072486,42.384772
"90",-117.715863,33.585871
"91",2.690856,41.656154
"92",-8.671111,39.046667
"93",-122.595147,38.008628
"94",-4.564536,37.007468
"95",9.413753,40.267521
"96",8.947767,42.585926
"97",-8.204251,37.600379
"98",11.13785,42.652164
"99",-4.308537,36.72464
"100",35.655012,33.861697
"101",9.417864,40.264084
"102",-8.012252,37.025204
"103",-8.004078,37.20068
"104",-7.372784,39.388493
"105",24.141125,35.586811
"106",26.171408,39.351753
"107",-7.557157,41.211712
"108",26.29878,39.153957
"109",27.998083,36.098804
"110",-8.982739,37.030514
"111",8.965144,42.424976
"112",27.815838,36.041534
"113",8.606967,39.356285
"114",8.833492,42.436733
"115",-8.492411,37.261757
"116",-8.004078,37.20068
"117",2.102035,41.470127
"118",26.201506,39.252579
"119",-6.824294,37.620179
"120",6.45986,43.40711
"121",-7.944363,37.097664
"122",-0.413072,39.680575
"123",6.791889,43.512405
"124",6.603672,43.449492
"125",-9.207972,38.777175
"126",-123.011064,38.324262
"127",9.123802,42.302959
"128",-7.93599,37.101648
"129",-6.0272,39.84422
"130",2.924127,42.516153
"131",7.12518,50.703308
"132",8.229558,50.417728
"133",8.902531,42.599346
"134",10.279083,42.787338
"135",8.743516,42.548286
"136",9.277043,42.685707
"137",26.406332,39.101013
"138",26.32193,39.188915
"139",26.501915,39.115417
"140",2.531225,42.77864
"141",3.10484,42.50343
"142",2.53814,42.79271
"143",3.15452,42.43669
"144",2.76614,42.741515
"145",2.54562,42.78423
"146",2.52333,42.7646
"147",3.1015,42.46019
"148",2.50253,42.82286
"149",3.14926,42.44699
"150",6.29028,43.32083
"151",6.78344,43.42524
"152",9.15734,42.65941
"153",7.33059,43.83421
"154",138.59457,-33.88017
"155",26.261959,39.124302
"156",-8.718882,39.60337
"157",-8.719013,39.604156
"158",7.950153,51.616657
"159",138.74049,-35.11604
"160",9.583224,40.715085
"161",2.637608,43.369397
"162",-3.592013,54.534548
"163",13.233695,45.7024
"164",10.20713,48.873985
"165",138.631256,-33.883734
"166",9.12495,41.77016
"167",9.12387,41.77142
"168",9.03154,41.84295
"169",138.732855,-35.148915
"170",9.118214,41.073308
"171",23.462808,37.748866
"172",9.736902,49.111458
"173",10.133429,48.732418
"174",3.008558,43.587217
"175",2.48774,42.76132
"176",2.5658,42.699
"177",2.55721,42.73881
"178",2.52333,42.7646
"179",2.466715,42.79167
"180",2.59792,42.77319
"181",2.50809,42.68159
"182",2.513275,42.672355
"183",-7.98813,39.619852
"184",26.574827,39.059126
"185",-9.196505,39.38155
"186",9.162739,42.176814
"187",18.436583,-34.194454
"188",2.556885,42.58535
"189",2.62284,42.72414
"190",2.51614,42.67174
"191",2.48479,42.63393
"192",2.50809,42.68159
"193",2.62284,42.72414
"194",2.602865,42.67202
"195",2.49529,42.66688
"196",2.5658,42.699
"197",2.68764,42.699995
"198",2.5375,42.618885
"199",2.64982,42.77009
"200",2.65664,42.696
"201",2.455665,42.64376
"202",2.53747,42.62921
"203",-123.930633,45.990792
"204",-97.306447,32.910262
"205",-3.088949,37.015849
"206",-8.843333,39.531944
"207",2.627654,41.764812
"208",2.605557,41.769165
"209",2.67834,42.42599
"210",-8.777707,37.184018
"211",172.704054,-43.822964
"212",172.652237,-43.571312
"213",172.704498,-43.822555
"214",174.825849,-36.846928
"215",-3.703079,36.746948
"216",6.63114,43.24312
"217",6.77758,43.59837
"218",6.62549,43.15327
"219",6.88904,43.41427
"220",6.38001,43.16125
"221",6.38001,43.16125
"222",6.88904,43.41427
"223",6.38001,43.16125
"224",6.88904,43.41427
"225",6.63114,43.24312
"226",6.63114,43.24312
"227",6.00699,43.08229
"228",6.63114,43.24312
"229",6.77758,43.59837
"230",6.77758,43.59837
"231",6.77758,43.59837
"232",5.64319,43.18182
"233",6.00699,43.08229
"234",6.88904,43.41427
"235",6.00699,43.08229
"236",-5.621883,37.95345
"237",8.618431,44.375149
"238",138.73985,-34.82486
"239",-122.027832,36.955814
"240",6.38001,43.16125
"241",6.38001,43.16125
"242",6.38001,43.16125
"243",6.38001,43.16125
"244",6.38001,43.16125
"245",6.38001,43.16125
"246",6.38001,43.16125
"247",6.38001,43.16125
"248",6.89513,43.50413
"249",6.89513,43.50413
"250",7.155,43.67468
"251",6.38001,43.16125
"252",6.38001,43.16125
"253",6.38001,43.16125
"254",6.38001,43.16125
"255",6.38001,43.16125
"256",6.13446,43.16866
"257",5.64319,43.18182
"258",6.38001,43.16125
"259",6.89513,43.50413
"260",6.89513,43.50413
"261",6.89513,43.50413
"262",-9.223406,39.404179
"263",-7.996888,37.017941
"264",27.006269,37.74387
"265",9.088455,41.446463
"266",-4.661726,36.647278
"267",33.112302,34.879935
"268",7.702299,36.521155
"269",150.967866,-33.722723
"270",-118.044745,34.034665
"271",-8.982739,37.030514
"272",-7.812996,37.032467
"273",-8.184764,37.238113
"274",-8.075638,37.060658
"275",-7.669918,37.63039
"276",-4.70547,36.61718
"277",-7.841716,37.58437
"278",-4.84088,36.624222
"279",-5.574722,36.281944
"280",6.25724,43.16503
"281",6.25724,43.16503
"282",6.13446,43.16866
"283",5.88436,43.08564
"284",5.88436,43.08564
"285",6.25724,43.16503
"286",6.38001,43.16125
"287",6.25724,43.16503
"288",6.25724,43.16503
"289",6.13446,43.16866
"290",10.991678,43.778863
"291",-4.653955,36.851655
"292",10.26487,42.826155
"293",-120.85705,37.526133
"294",-8.97803,37.028606
"295",10.218691,54.398712
"296",-118.037911,34.129406
"297",-120.857103,37.526153
"298",26.002707,38.575649
"299",-7.053676,38.171609
"300",-122.229278,37.871158
"301",-122.223859,37.874968
"302",10.155322,42.790163
"303",-6.044238,38.03383
"304",9.283897,40.211557
"305",-5.937674,36.240784
"306",-6.56999,37.049952
"307",6.232427,43.114143
"308",-8.24166,37.162491
"309",26.143808,38.310349
