"","decimalLongitude","decimalLatitude"
"1",-7.965393,37.008523
"2",-9.027798,38.638704
"3",-6.53564,37.07457
"4",-6.656761,37.132603
"5",-8.51,37.37
"6",-8.71388,38.35281
"7",-8.71735,37.45152
"8",-6.15528,36.32583
"9",-6.75611,37.10472
"10",-8.738422,40.547599
"11",-8.57,38.62
"12",-8.58462,40.87532
"13",-8.71768,37.36138
"14",-8.82768,38.6234
"15",-8.71281,38.62317
"16",-8.82811,38.44316
"17",-8.71388,38.35281
"18",-8.83061,37.3616
"19",-7.6656,39.33678
"20",-7.6656,39.33678
"21",-7.66389,39.42687
"22",-8.3666,38.80204
"23",-8.8279,38.53328
"24",-8.907251,37.190544
"25",-8.77,38.4
"26",-8.70568,40.33517
"27",-8.82341,40.33541
"28",-8.71423,38.26269
"29",-8.9416,39.79494
"30",-8.9416,39.79494
"31",-8.9416,39.79494
"32",-9.17452,39.52452
"33",-8.71208,38.80341
"34",-8.71208,38.80341
"35",-8.71208,38.80341
"36",-8.3804,37.17982
"37",-8.71208,38.80341
"38",-8.71208,38.80341
"39",-8.3804,37.17982
"40",-8.71208,38.80341
"41",-9.17189,38.44316
"42",-9.1721,38.53328
"43",-9.01,38.52
"44",-8.82833,38.35303
"45",-9.05744,38.62351
"46",-9.05744,38.62351
"47",-9.05744,38.62351
"48",-8.71208,38.80341
"49",-9.05744,38.62351
"50",-9.05744,38.62351
"51",-9.05744,38.62351
"52",-9.05744,38.62351
"53",-9.05744,38.62351
"54",-9.05744,38.62351
"55",-8.82833,38.35303
"56",-9.05744,38.62351
"57",-9.05744,38.62351
"58",-9.05744,38.62351
"59",-9.05744,38.62351
"60",-9.05744,38.62351
"61",-9.05744,38.62351
"62",-8.71208,38.80341
"63",-9.05744,38.62351
"64",-9.05744,38.62351
"65",-9.05744,38.62351
"66",-9.01,35.53
"67",-9.017,38.529
"68",-9.017,38.529
"69",-6.516209,36.992254
"70",-6.516209,36.992254
"71",-6.445742,36.969353
"72",-9.02,39.23
"73",-9.01,35.53
"74",-9.01,38.52
"75",-8.24955,38.98158
"76",-8.48241,38.7125
"77",-8.13411,38.98078
"78",-8.3666,38.80204
"79",-8.3666,38.80204
"80",-8.3666,38.80204
"81",-8.3666,38.80204
"82",-7.47936,37.17168
"83",-8.0436,37.08744
"84",-8.0436,37.08744
"85",-9.4,39.36
"86",-8.71208,38.80341
"87",-8.71208,38.80341
"88",-9.4,39.36
"89",-8.48876,37.81128
"90",-8.70489,40.51535
"91",-8.24955,38.98158
"92",-6.516209,36.992254
"93",-6.516209,36.992254
"94",-6.445742,36.969353
"95",-6.445742,36.969353
"96",-8.82341,40.33541
"97",-8.94152,39.88504
"98",-9.05744,38.62351
"99",-8.59843,38.53272
"100",-8.71281,38.62317
"101",-9.05737,38.53339
"102",-9.05825,39.61474
"103",-8.59993,38.26235
"104",-8.48626,38.17179
"105",-8.94249,38.71363
"106",-9.05744,38.62351
"107",-8.71423,38.26269
"108",-8.71316,38.53305
"109",-8.71245,38.71329
"110",-8.59993,38.26235
"111",-8.48562,38.26191
"112",-9.05737,38.53339
"113",-8.71423,38.26269
"114",-9.1721,38.53328
"115",-8.4475,39.069444
"116",-8.44,39.06
"117",-9.4,39.35
"118",-9.17189,38.44316
"119",-8.70489,40.51535
"120",-8.04473,36.99731
"121",-8.04473,36.99731
"122",-8.71281,38.62317
"123",-8.82703,38.89375
"124",-8.59943,38.35248
"125",-8.82747,38.71352
"126",-8.94249,38.71363
"127",-8.71208,38.80341
"128",-8.94256,38.62351
"129",-8.71388,38.35281
"130",-8.94242,38.80375
"131",-8.94249,38.71363
"132",-8.94242,38.80375
"133",-8.71388,38.35281
"134",-8.94242,38.80375
"135",-9.17189,38.44316
"136",-8.48562,38.26191
"137",-8.82811,38.44316
"138",-8.82747,38.71352
"139",-8.59943,38.35248
"140",-8.71352,38.44293
"141",-8.71388,38.35281
"142",-8.71388,38.35281
"143",-8.48499,38.35203
"144",-8.48562,38.26191
"145",-8.71281,38.62317
"146",-9.1721,38.53328
"147",-8.71388,38.35281
"148",-9.05744,38.62351
"149",-8.71245,38.71329
"150",-8.94242,38.80375
"151",-8.59943,38.35248
"152",-8.59943,38.35248
"153",-8.48562,38.26191
"154",-9.05744,38.62351
"155",-8.82833,38.35303
"156",-8.71281,38.62317
"157",-8.59943,38.35248
"158",-8.82833,38.35303
"159",-7.98,37.04
"160",-8.82811,38.44316
"161",-8.82811,38.44316
"162",-8.71352,38.44293
"163",-8.71352,38.44293
"164",-8.71352,38.44293
"165",-8.82811,38.44316
"166",-8.59943,38.35248
"167",-8.59943,38.35248
"168",-8.71352,38.44293
"169",-8.71458,38.17256
"170",-8.71352,38.44293
"171",-8.71352,38.44293
"172",-8.82875,38.17278
"173",-7.9311,37.08648
"174",-7.70612,37.08424
"175",-7.70612,37.08424
"176",-7.70612,37.08424
"177",-7.47936,37.17168
"178",-7.47936,37.17168
"179",-8.59943,38.35248
"180",-7.47936,37.17168
"181",-8.94175,39.61474
"182",-8.71352,38.44293
"183",-8.82833,38.35303
"184",-8.71423,38.26269
"185",-8.71423,38.26269
"186",-8.71423,38.26269
"187",-8.71388,38.35281
"188",-8.82833,38.35303
"189",-8.71388,38.35281
"190",-6.29,36.876
"191",-8.13846,38.62035
"192",-8.82833,38.35303
"193",-8.82811,38.44316
"194",-8.82811,38.44316
"195",-8.82811,38.44316
"196",-7.9311,37.08648
"197",-7.9311,37.08648
"198",-6.109805,36.529162
"199",-7.221227,37.352068
"200",-7.08805,37.351221
"201",-7.101015,37.342106
"202",-7.195778,37.346498
"203",-7.113363,37.361431
"204",-7.9311,37.08648
"205",-6.853251,37.244209
"206",-8.71388,38.35281
"207",-8.04473,36.99731
"208",-8.0436,37.08744
"209",-8.82833,38.35303
"210",-7.9311,37.08648
"211",-5.381619,36.311375
"212",-5.407935,36.260329
"213",-7.9311,37.08648
"214",-8.82811,38.44316
"215",-7.9311,37.08648
"216",-7.9311,37.08648
"217",-7.012417,37.202298
"218",-6.988677,37.193309
"219",-7.068074,37.283613
"220",-8.3721,38.17123
"221",-6.54552,37.006154
"222",-6.389064,36.907691
"223",-7.016952,37.203306
"224",-6.47705,37.080566
"225",-6.468696,37.084793
"226",-6.501554,37.069843
"227",-6.387821,36.840962
"228",-6.51219,36.996911
"229",-6.650795,37.069339
"230",-6.441627,36.979249
"231",-6.475411,36.994373
"232",-6.468204,36.985817
"233",-6.393756,36.846667
"234",-6.380493,36.84181
"235",-6.374092,36.846155
"236",-6.36195,37.151453
"237",-6.676261,37.103111
"238",-6.669797,37.091293
"239",-6.673022,37.081697
"240",-6.683812,37.10248
"241",-6.575388,37.022636
"242",-6.580757,37.030961
"243",-6.706935,37.101767
"244",-6.778641,37.131934
"245",-6.577111,37.018161
"246",-6.574908,37.020308
"247",-6.575761,37.017183
"248",-6.582232,37.0186
"249",-6.583841,37.018399
"250",-6.760734,37.117738
"251",-6.785976,37.138897
"252",-6.630196,37.046674
"253",-6.626051,37.043891
"254",-6.629804,37.113156
"255",-6.687638,37.080496
"256",-6.686244,37.074242
"257",-6.690861,37.071846
"258",-6.702892,37.080398
"259",-6.69105,37.082921
"260",-6.697178,37.081991
"261",-6.727264,37.089697
"262",-6.603074,37.056862
"263",-6.594227,37.041617
"264",-6.584154,37.037021
"265",-6.684354,37.077922
"266",-6.684126,37.075082
"267",-6.658641,37.064169
"268",-6.669007,37.070957
"269",-6.667372,37.068998
"270",-6.645246,37.070627
"271",-6.601703,37.099401
"272",-6.648912,37.053045
"273",-6.650654,37.052352
"274",-6.636287,37.050884
"275",-6.637339,37.049608
"276",-6.640172,37.052458
"277",-6.631939,37.043855
"278",-6.625377,37.04602
"279",-6.618833,37.049751
"280",-6.669037,37.067379
"281",-6.584435,37.027219
"282",-6.728285,37.091259
"283",-6.671625,37.063461
"284",-6.419624,37.159387
"285",-6.406273,37.168665
"286",-6.656077,37.060635
"287",-6.642787,37.064108
"288",-6.631988,37.058322
"289",-6.613463,37.050528
"290",-6.617271,37.053772
"291",-6.604756,37.07956
"292",-6.648957,37.056566
"293",-6.650647,37.055469
"294",-6.64663,37.056566
"295",-6.636973,37.046889
"296",-6.639675,37.050996
"297",-6.645045,37.051633
"298",-6.588688,37.044992
"299",-6.597686,37.054657
"300",-6.593714,37.059813
"301",-6.556854,37.063691
"302",-6.618257,37.04803
"303",-6.681503,37.074551
"304",-6.608734,37.041095
"305",-6.670344,37.066032
"306",-6.596422,37.030505
"307",-6.676051,37.068045
"308",-6.405298,37.154485
"309",-6.604097,37.038821
"310",-6.60444,37.028009
"311",-6.657119,37.058225
"312",-6.618434,37.036385
"313",-6.618818,37.036193
"314",-6.616523,37.038497
"315",-6.590512,37.031945
"316",-6.598045,37.033221
"317",-6.560795,37.04123
"318",-6.552556,37.060235
"319",-6.549584,37.059441
"320",-6.606937,37.036366
"321",-6.612344,37.038778
"322",-6.398324,37.15282
"323",-6.587633,37.01996
"324",-6.592192,37.023002
"325",-6.553223,37.02369
"326",-6.647777,37.058215
"327",-6.514355,36.991964
"328",-6.582486,37.021124
"329",-6.662348,37.060838
"330",-6.659521,37.058862
"331",-6.613651,37.036945
"332",-6.602741,37.03652
"333",-6.571437,37.035188
"334",-6.606693,37.040004
"335",-6.606325,37.035069
"336",-6.608703,37.038069
"337",-6.611757,37.039435
"338",-6.500481,37.022511
"339",-6.473398,37.013577
"340",-6.477196,36.985716
"341",-6.555821,37.048559
"342",-6.745532,37.13613
"343",-6.522142,36.981074
"344",-6.516431,36.981199
"345",-6.481162,37.044091
"346",-6.569866,37.014126
"347",-6.529813,37.065572
"348",-6.456875,36.965272
"349",-6.458995,36.966715
"350",-6.414656,36.905165
"351",-6.388316,36.864635
"352",-6.518721,36.986284
"353",-6.517721,36.987737
"354",-6.469076,36.98226
"355",-6.466076,37.012413
"356",-5.79684,36.085366
"357",-5.796885,36.085383
"358",-6.783952,37.118161
"359",-6.784641,37.118904
"360",-6.785272,37.118695
"361",-6.773141,37.112947
"362",-6.737287,37.104174
"363",-6.740861,37.100917
"364",-6.747159,37.106628
"365",-6.758886,37.109716
"366",-6.75639,37.108371
"367",-6.781836,37.123796
"368",-6.785137,37.123654
"369",-6.790571,37.121634
"370",-6.788605,37.123498
"371",-6.791949,37.125797
"372",-6.76468,37.109279
"373",-6.797352,37.137101
"374",-6.802894,37.15631
"375",-6.795842,37.174382
"376",-6.799595,37.175586
"377",-6.613776,37.134251
"378",-6.634497,37.262979
"379",-6.600966,37.241743
"380",-6.575916,37.211007
"381",-6.619232,37.214185
"382",-6.817864,37.142441
"383",-6.795452,37.174917
"384",-6.593219,37.128588
"385",-6.497242,37.181878
"386",-6.475646,37.220931
"387",-6.500236,37.185511
"388",-6.828592,37.208714
"389",-6.543616,37.141029
"390",-6.552669,37.143785
"391",-6.308258,36.855702
"392",-5.939059,36.243953
"393",-5.908606,36.29694
"394",-5.908059,36.296909
"395",-5.903511,36.296145
"396",-6.814603,37.137132
"397",-6.743908,37.100217
"398",-6.699344,37.239753
"399",-5.919243,36.2935
"400",-5.906705,36.298212
"401",-6.748265,37.104196
"402",-5.91246,36.301199
"403",-5.921517,36.296869
"404",-5.923659,36.299069
"405",-6.62678,37.192314
"406",-6.747406,37.100674
"407",-8.71,38.17
"408",-5.932982,36.297687
"409",-6.774611,37.157008
"410",-6.19498,37.2101
"411",-6.64,36.93
"412",-8.71,38.17
"413",-8.82,38.35
"414",-6.499,37.349
"415",-8.01,38.97
"416",-8.48,38.35
"417",-8.71,38.26
"418",-8.05,37.06
"419",-8.05655,37.0586
"420",-8.05,37.06
"421",-8.05,37.06
"422",-8.48,38.71
"423",-5.77,36.02
"424",-6.16,36.34
"425",-6.186,36.369
"426",-6.186,36.369
"427",-9.17189,38.44316
"428",-5.297619,36.27392
"429",-5.395147,36.228958
"430",-8.94,37.01
"431",-8.8302,37.54187
"432",-6.5834,37.0126
"433",-8.88861,37.22456
"434",-8.83,37.27
"435",-8.83,37.27
"436",-4.17,35.02
"437",-8.77288,38.21584
"438",-6.69,37.07
"439",-6.69,37.25
"440",-6.22,36.290001
"441",-8.696925,38.240078
"442",-8.696925,38.240078
"443",-5.85005,36.623432
"444",-6.22,36.290001
"445",-8.849387,40.213112
"446",-8.793326,39.029366
"447",-7.03,37.17
"448",-8.037433,37.037296
"449",-8.849387,40.213112
"450",-8.702714,40.382164
"451",-8.714578,38.400845
"452",-6.511,36.98
