"","decimalLongitude","decimalLatitude"
"1",2.688306,41.642487
"2",-0.011014,38.740654
"3",-8.553056,38.954167
"4",6.03001,43.08142
"5",4.80722,43.72667
"6",6.02997,43.08146
"7",5.24533,43.33905
"8",3.06078,42.4948
"9",5.3808,43.28034
"10",5.46089,43.4059
"11",5.47235,43.40584
"12",-4.945882,36.58815
"13",2.754575,42.611675
"14",2.78042,42.749805
"15",2.76614,42.741515
"16",3.15452,42.43669
"17",2.735295,42.605615
"18",2.76185,42.5653
"19",3.14926,42.44699
"20",2.91248,42.841995
"21",3.1015,42.46019
"22",2.77708,42.79307
"23",-9.028127,38.638313
"24",2.466715,42.79167
"25",2.5658,42.699
"26",2.513275,42.672355
"27",2.62284,42.72414
"28",2.62284,42.72414
"29",2.62601,42.74146
"30",2.48479,42.63393
"31",2.65664,42.696
"32",2.51614,42.67174
"33",2.49529,42.66688
"34",2.62547,42.684205
"35",2.50809,42.68159
"36",2.5658,42.699
"37",2.602865,42.67202
"38",2.54848,42.6563
"39",2.558165,42.695935
"40",5.40259,43.35854
"41",5.40496,43.36739
"42",5.3274,43.55592
"43",5.28885,43.54992
"44",-8.472778,37.290226
"45",-4.645076,36.634605
"46",-4.638821,36.629658
"47",-4.858223,36.588356
"48",4.79981,43.73914
"49",4.79981,43.73914
"50",5.40121,43.27748
"51",4.79981,43.73914
"52",6.00699,43.08229
"53",5.40121,43.27748
"54",5.40121,43.27748
"55",5.40121,43.27748
"56",5.40121,43.27748
"57",-8.20074,37.15976
"58",-5.36592,36.499802
"59",5.65144,43.36163
"60",5.65975,43.54146
"61",5.65975,43.54146
"62",5.29244,43.63986
"63",5.03834,43.46491
"64",5.64731,43.27173
"65",5.29244,43.63986
"66",5.29244,43.63986
"67",2.971755,42.52166
"68",5.149128,44.73682
"69",4.628667,44.574299
"70",-3.495496,37.26659
"71",3.06078,42.4948
"72",3.06078,42.4948
"73",2.93884,42.85443
"74",3.06078,42.4948
"75",3.18197,42.40477
"76",2.81662,42.85429
"77",3.06078,42.4948
"78",3.18197,42.40477
"79",2.81662,42.85429
"80",2.81662,42.85429
"81",3.06078,42.4948
"82",3.06078,42.4948
"83",3.06078,42.4948
"84",3.18197,42.40477
"85",3.18225,42.49466
"86",3.18225,42.49466
"87",3.06078,42.4948
"88",3.06078,42.4948
"89",2.81577,43.12409
"90",3.06078,42.4948
"91",3.18225,42.49466
"92",3.18197,42.40477
"93",3.06078,42.4948
"94",2.564915,42.660455
"95",2.41968,42.59867
"96",2.625415,42.562165
"97",2.86374,42.46651
"98",2.912235,42.839855
"99",2.6373,42.56547
"100",3.34426,43.68369
"101",2.89703,42.47625
"102",2.54464,42.65418
"103",2.54693,42.65478
"104",2.915185,42.840335
"105",2.918195,42.839625
"106",5.65144,43.36163
"107",5.65144,43.36163
"108",5.64319,43.18182
"109",5.52821,43.36458
"110",5.28885,43.54992
"111",5.28885,43.54992
"112",5.40121,43.27748
"113",5.65559,43.45155
"114",5.53216,43.4545
"115",5.52034,43.18476
"116",5.52821,43.36458
"117",5.28885,43.54992
"118",5.52821,43.36458
"119",5.28527,43.45999
"120",5.28527,43.45999
"121",5.28527,43.45999
"122",5.28527,43.45999
"123",5.28527,43.45999
"124",5.28527,43.45999
"125",5.28527,43.45999
"126",5.28527,43.45999
"127",5.28527,43.45999
"128",5.28527,43.45999
"129",5.28527,43.45999
"130",5.28527,43.45999
"131",5.28527,43.45999
"132",5.28527,43.45999
"133",5.28527,43.45999
"134",5.28527,43.45999
"135",5.28527,43.45999
"136",5.28527,43.45999
"137",5.28527,43.45999
"138",5.28527,43.45999
"139",5.28527,43.45999
"140",5.28527,43.45999
"141",5.28527,43.45999
"142",5.28527,43.45999
"143",5.28527,43.45999
"144",5.28527,43.45999
"145",5.28527,43.45999
"146",5.28885,43.54992
"147",5.28885,43.54992
"148",5.28885,43.54992
"149",5.28885,43.54992
"150",5.28885,43.54992
"151",5.28885,43.54992
"152",5.28885,43.54992
