"","decimalLongitude","decimalLatitude"
"1",-7.29916,39.97882
"2",3.114023,39.79937
"3",3.108187,39.796337
"4",13.743259,42.308851
"5",-5.457925,36.7686
"6",6.984618,43.65353
"7",3.837778,43.62389
"8",-3.853885,40.423551
"9",34.930151,31.838365
"10",35.130982,31.771758
"11",3.108187,39.796337
"12",3.114023,39.79937
"13",35.169816,31.773275
"14",-8.202324,37.155186
"15",9.14658,44.39966
"16",9.14771,44.39791
"17",7.836548,43.842777
"18",9.14529,44.4023
"19",7.83545,43.848324
"20",9.13872,44.40494
"21",9.14276,44.40691
"22",8.505834,40.261665
"23",3.154083,39.462513
"24",24.757748,41.094566
"25",26.1772,35.1311
"26",10.266814,42.825231
"27",35.622871,30.621981
"28",16.073458,41.698453
"29",-5.164133,36.740431
"30",26.17668,35.131648
"31",3.46911,43.464276
"32",23.796,37.961692
"33",10.65106,43.41798
"34",3.409817,43.6634
"35",11.529862,42.705945
"36",24.71323,41.011578
"37",9.42742,42.741799
"38",2.754575,42.611675
"39",2.73327,42.60467
"40",2.54562,42.78423
"41",2.740565,42.610155
"42",2.735295,42.605615
"43",2.76185,42.5653
"44",2.531225,42.77864
"45",2.79014,42.74548
"46",2.78661,42.7449
"47",2.52333,42.7646
"48",2.559035,42.87014
"49",2.76614,42.741515
"50",-1.10177,45.49454
"51",12.280667,43.949092
"52",25.491396,40.885331
"53",2.466715,42.79167
"54",2.55721,42.73881
"55",2.513275,42.672355
"56",2.610145,42.76542
"57",2.60304,42.76079
"58",2.52333,42.7646
"59",5.67422,43.98059
"60",35.009991,32.775089
"61",25.74661,35.011694
"62",-8.573347,39.471314
"63",7.839529,43.904606
"64",7.849531,43.877914
"65",2.85073,41.998395
"66",2.5375,42.618885
"67",2.50809,42.68159
"68",2.664045,42.69811
"69",2.44777,42.65516
"70",2.48479,42.63393
"71",2.65664,42.696
"72",2.62547,42.684205
"73",2.649475,42.76696
"74",2.68764,42.699995
"75",2.37963,42.59704
"76",2.602865,42.67202
"77",2.5658,42.699
"78",2.49529,42.66688
"79",2.455665,42.64376
"80",2.390715,42.600525
"81",2.648275,42.765965
"82",2.651475,42.77001
"83",2.51614,42.67174
"84",2.6074,42.716725
"85",2.94647,43.04586
"86",4.80503,43.74914
"87",5.9748,43.31197
"88",5.016178,44.125791
"89",15.097608,36.967395
"90",15.097578,36.967198
"91",2.738745,42.550608
"92",5.024332,44.123132
"93",2.68698,42.45084
"94",13.912165,44.778485
"95",35.183837,31.771749
"96",-9.289474,39.098129
"97",12.447295,43.936165
