"","decimalLongitude","decimalLatitude"
"1",5.707797,58.935398
"2",10.651217,59.475029
"3",12.071696,57.806009
"4",14.270915,55.455281
"5",11.93817,57.68549
"6",12.735604,56.642875
"7",10.415121,59.291524
"8",7.909639,58.071688
"9",-4.404045,54.213081
"10",10.62618,59.420552
"11",11.075482,59.204274
"12",7.774711,47.998511
"13",11.914562,57.591358
"14",11.923482,57.74376
"15",11.752371,57.796651
"16",11.960915,57.620787
"17",10.721283,53.904415
"18",8.724582,58.392611
"19",11.835196,57.792031
"20",13.496738,55.794799
"21",6.235707,51.347931
"22",6.954227,62.392215
"23",-2.53553,52.677509
"24",4.5235,50.601139
"25",11.010381,59.033472
"26",10.720584,59.335988
"27",11.98411,57.582151
"28",10.686062,59.490862
"29",6.423044,62.43749
"30",8.620898,58.334612
"31",10.857578,59.087929
"32",10.021291,59.016352
"33",7.012024,51.688946
"34",14.148259,57.748084
"35",11.899488,58.293197
"36",11.536219,58.284306
"37",11.613115,57.782032
"38",11.911813,58.334739
"39",11.255037,58.442622
"40",11.926321,57.50492
"41",18.499258,57.307309
"42",11.768721,57.64701
"43",12.721519,56.03133
"44",11.850872,58.25017
"45",12.735218,56.085138
"46",3.99342,50.649396
"47",-2.44304,51.895773
"48",-2.811842,53.512182
"49",8.27016,56.073277
"50",-2.50269,51.230877
"51",3.065754,50.486747
"52",8.728283,50.85385
"53",-0.707024,52.49316
"54",5.710402,58.9341
"55",6.17581,62.494004
"56",11.449091,58.243244
"57",3.527323,51.137364
"58",3.516412,51.142183
"59",-2.976019,53.53631
"60",3.469359,51.156967
"61",-2.847969,51.281423
"62",3.637042,51.170421
"63",4.63674,50.074397
"64",-3.086963,53.56151
"65",9.394603,56.278529
"66",4.63652,50.0764
"67",8.599325,50.746525
"68",4.702109,50.852518
"69",-2.769633,53.346646
"70",-2.856125,53.588822
"71",3.522509,51.141162
"72",3.725135,50.946934
"73",4.715193,50.615875
"74",3.508628,51.122513
"75",-2.989045,53.664537
"76",11.923482,57.74376
"77",14.065237,55.928328
"78",12.453524,57.706671
"79",11.999696,57.702918
"80",11.681081,57.732132
"81",11.873285,58.198664
"82",11.828611,58.334886
"83",11.94665,57.584583
"84",12.438244,57.977088
"85",12.772274,56.64531
"86",12.071696,57.806009
"87",12.103397,57.40127
"88",17.059223,58.683457
"89",12.626863,56.106054
"90",-4.402603,54.209647
"91",8.235474,50.405998
"92",169.468,-46.562
"93",169.469538,-46.562122
"94",9.142424,58.661463
"95",6.727052,58.330745
"96",5.944,59.100262
"97",9.823293,58.976285
"98",9.823428,58.97397
"99",10.758772,59.33203
"100",10.317268,59.167079
"101",11.936005,58.363456
"102",11.936553,57.6855
"103",14.175352,55.781177
"104",11.432544,58.241915
"105",14.311788,55.595033
"106",11.95672,57.623788
"107",11.267631,58.526361
"108",11.828611,58.334886
"109",11.880004,58.290147
"110",14.267124,55.652708
"111",11.94842,57.586971
"112",11.7924,57.567633
"113",5.19912,50.81654
"114",5.07344,50.95221
"115",10.666766,59.493334
"116",3.37191,45.57774
"117",4.55447,50.37443
"118",4.33854,50.69974
"119",-3.097498,53.549345
"120",-3.065904,53.571766
"121",-3.093592,53.570592
"122",-3.092807,53.569169
"123",6.265683,51.283676
"124",6.145434,51.296383
"125",169.659644,-46.450982
"126",-1.663353,55.169647
"127",-2.468693,54.169685
"128",-1.30132,54.083489
"129",10.738218,59.233719
"130",10.606885,59.875314
"131",7.262654,58.081003
"132",6.172648,62.475997
"133",7.594699,50.453362
"134",6.27521,51.261055
"135",-3.075752,53.575703
"136",10.322164,59.172447
"137",5.444375,61.383831
"138",10.405473,59.108311
"139",10.42194,59.526812
"140",6.202957,62.472406
"141",11.936005,58.363456
"142",14.268624,55.673133
"143",12.188926,57.754867
"144",11.826096,58.328684
"145",11.899488,58.293197
"146",11.431772,58.236194
"147",11.911813,58.334739
"148",14.192941,55.714817
"149",11.894521,57.61114
"150",10.627196,59.425867
"151",10.670222,56.217915
"152",171.809233,-41.75607
"153",18.05611,59.369668
"154",5.52456,50.77783
"155",5.11671,50.9879
"156",5.48352,50.84115
"157",2.00925,48.73391
"158",2.02705,48.99204
"159",3.842865,50.715519
"160",4.15509,50.14383
"161",5.3326,50.1275
"162",8.76958,50.857961
"163",5.745247,58.923543
"164",6.209577,62.4741
"165",10.924466,59.150629
"166",6.003711,58.974873
"167",6.042724,62.549907
"168",5.338822,59.394567
"169",5.692525,58.972804
"170",5.686399,58.9716
"171",10.600363,59.891522
"172",10.913614,59.141111
"173",10.917531,59.145741
"174",10.643626,59.46776
"175",10.670144,59.36174
"176",8.80284,52.866711
"177",3.5176,51.140501
"178",-2.8105,53.4063
"179",5.248416,59.441207
"180",6.754828,62.47828
"181",-2.425416,53.604539
"182",6.241093,51.243576
"183",6.223841,51.244255
"184",6.236115,51.248379
"185",6.239429,51.24506
"186",6.230707,51.242897
"187",5.270263,59.421032
"188",6.646572,58.281071
"189",6.647282,58.279432
"190",10.78414,59.608528
"191",5.685635,59.097692
"192",7.960511,58.111027
"193",8.788633,50.803802
"194",-6.546489,37.144821
"195",5.661991,58.970433
"196",-1.563325,49.231586
"197",8.741111,50.855555
"198",9.983584,53.460768
"199",12.324634,57.267291
"200",11.936005,58.363456
"201",14.250658,55.638727
"202",11.975109,57.766646
"203",13.288131,56.039515
"204",14.124436,55.768885
"205",14.175352,55.781177
"206",14.309686,55.598271
"207",11.834504,57.76092
"208",13.236514,56.99572
"209",11.650682,57.691444
"210",11.979331,57.660621
"211",-2.269154,53.249443
"212",5.51104,50.80493
"213",5.31663,51.01343
"214",5.54008,50.83161
"215",4.29106,50.73855
"216",3.51968,49.030535
"217",1.07742,49.22674
"218",-0.79954,52.79084
"219",7.981882,58.069479
"220",3.57961,50.92472
"221",3.59294,50.97875
"222",5.96946,50.53375
"223",4.9489,50.27458
"224",4.76845,50.33415
"225",-3.033248,53.355008
"226",6.247251,51.245102
"227",6.234827,51.243851
"228",8.770063,52.877373
"229",6.242337,51.248806
"230",11.772326,57.73691
"231",-3.064362,53.573166
"232",10.115188,48.734417
"233",10.830781,59.174652
"234",5.439721,61.394602
"235",11.02417,59.068028
"236",5.701113,58.972646
"237",5.250159,59.440897
"238",5.831387,58.83254
"239",11.008539,59.07506
"240",5.678242,58.937442
"241",10.829343,59.175039
"242",11.003239,59.051549
"243",10.910919,59.243069
"244",6.557315,62.443999
"245",5.765148,50.4595
"246",6.28492,49.647143
"247",8.589635,50.109596
"248",8.627357,50.076313
"249",6.780556,51.408611
"250",5.681611,58.958859
"251",11.0505,59.068172
"252",5.68126,58.958919
"253",5.586147,58.850639
"254",11.064801,59.071828
"255",7.052027,58.058155
"256",5.295173,59.390235
"257",5.617597,58.978105
"258",5.689121,58.957803
"259",5.23345,60.454908
"260",10.90208,59.064427
"261",10.178056,59.019778
"262",10.94493,59.05209
"263",10.953607,59.04802
"264",5.653628,58.968062
"265",10.738614,59.24017
"266",10.203936,59.027222
"267",10.738191,59.53947
"268",5.562233,59.603506
"269",10.893268,59.076196
"270",5.25527,59.42074
"271",10.95341,59.050648
"272",10.504531,59.322988
"273",11.239559,59.212051
"274",10.650022,59.397059
"275",10.66991,59.33153
"276",5.617192,58.975748
"277",5.7083,58.936701
"278",10.731984,59.234409
"279",5.345174,59.32983
"280",5.623858,58.984868
"281",5.709701,58.938402
"282",5.723903,58.9435
"283",5.62375,58.984687
"284",10.664763,59.481325
"285",10.654441,59.406067
"286",5.700538,58.973183
"287",11.04979,59.073509
"288",10.73458,59.23439
"289",5.616878,58.978809
"290",5.258935,59.418679
"291",10.908054,59.064034
"292",5.699002,58.974299
"293",3.80197,50.975003
"294",-1.598305,55.02347
"295",-3.019627,53.571551
"296",-3.061673,53.574589
"297",0.043022,51.665473
