"","decimalLongitude","decimalLatitude"
"1",-7.976428,37.043377
"2",-7.98436,37.034228
"3",-7.979303,37.04826
"4",-8.90493,38.570696
"5",-7.633333,40.333333
"6",-6.53564,37.07457
"7",-6.350761,39.705246
"8",-7.9749,37.02829
"9",-6.56389,37.04444
"10",-8.82811,38.44316
"11",-8.82811,38.44316
"12",-8.82811,38.44316
"13",-7.50449,41.40683
"14",-8.82811,38.44316
"15",-8.82811,38.44316
"16",-8.71388,38.35281
"17",-7.49825,41.67696
"18",-6.77163,41.84529
"19",-8.82364,40.24531
"20",-9.05788,39.1642
"21",-9.05788,39.1642
"22",-9.05788,39.1642
"23",-4.376,36.8258
"24",-5.66,40.15
"25",-5.66,40.15
"26",-3.28457,36.94917
"27",-3.28457,36.94917
"28",-7.28643,40.5931
"29",-7.99264,40.78159
"30",-9.29012,39.34407
"31",-8.9416,39.79494
"32",-7.26049,41.58354
"33",-7.36676,37.17018
"34",-7.0857,37.275
"35",-7.02069,41.57966
"36",-7.02069,41.57966
"37",-5.02343,36.57318
"38",-7.76067,40.50908
"39",-6.516209,36.992254
"40",-7.76233,40.41901
"41",-7.64449,40.41769
"42",-7.47936,37.17168
"43",-7.47936,37.17168
"44",-4.83941,36.83517
"45",-4.868,36.856
"46",-9.05,39.59
"47",-9.28975,39.25397
"48",-9.28975,39.25397
"49",-9.29012,39.34407
"50",-9.29012,39.34407
"51",-9.29012,39.34407
"52",-5.018,36.592
"53",-5.017,36.565
"54",-5.019,36.628
"55",-7.52665,40.41624
"56",-5.79,40.3
"57",-7.64629,40.32762
"58",-7.64629,40.32762
"59",-8.0436,37.08744
"60",-7.64449,40.41769
"61",-7.62219,41.49837
"62",-7.52861,40.32618
"63",-7.76233,40.41901
"64",-8.82341,40.33541
"65",-6.90372,41.48752
"66",-6.90081,41.57753
"67",-6.78094,41.57528
"68",-6.66108,41.5729
"69",-6.90081,41.57753
"70",-6.516209,36.992254
"71",-7.88902,39.87974
"72",-8.12403,39.79165
"73",-7.52665,40.41624
"74",-7.52861,40.32618
"75",-7.64449,40.41769
"76",-8.11472,40.51233
"77",-8.12403,39.79165
"78",-5.106,36.951
"79",-7.28643,40.5931
"80",-7.99535,40.60144
"81",-5.00689,36.61271
"82",-5.86,40.25
"83",-7.87415,40.78049
"84",-4.455,36.97
"85",-8.70044,41.50624
"86",-7.64449,40.41769
"87",-8.81926,41.86677
"88",-8.35251,40.33373
"89",-8.04473,36.99731
"90",-8.04473,36.99731
"91",-8.48562,38.26191
"92",-8.59943,38.35248
"93",-7.9967,40.51137
"94",-7.76233,40.41901
"95",-7.53444,40.05599
"96",-7.64987,40.14748
"97",-7.06057,40.22919
"98",-7.06057,40.22919
"99",-7.44968,40.11397
"100",-4.954,36.71
"101",-8.82811,38.44316
"102",-8.82811,38.44316
"103",-8.82959,37.81227
"104",-8.82811,38.44316
"105",-8.71352,38.44293
"106",-8.82811,38.44316
"107",-8.9427,38.44327
"108",-7.76233,40.41901
"109",-4.865,36.757
"110",-6.23,40.47
"111",-7.2748,41.04332
"112",-7.52861,40.32618
"113",-7.52861,40.32618
"114",-3.4609,37.139
"115",-6.70369033629975,43.364135114863
"116",-6.70369033629975,43.364135114863
"117",-6.70369033629975,43.364135114863
"118",-8.35337,40.24364
"119",-6.6597,37.135
"120",-7.93237,36.99635
"121",-7.70612,37.08424
"122",-7.47936,37.17168
"123",-7.93237,36.99635
"124",-7.93237,36.99635
"125",-7.82,36.99528
"126",-7.93237,36.99635
"127",-7.93237,36.99635
"128",-7.81861,37.08541
"129",-7.47936,37.17168
"130",-5.8243,40.2812
"131",-7.47936,37.17168
"132",-8.82811,38.44316
"133",-7.47936,37.17168
"134",-7.40882,40.41468
"135",-7.40456,40.59479
"136",-4.772,36.614
"137",-8.82811,38.44316
"138",-8.82811,38.44316
"139",-8.82811,38.44316
"140",-8.82811,38.44316
"141",-8.82811,38.44316
"142",-8.82811,38.44316
"143",-8.82811,38.44316
"144",-8.82811,38.44316
"145",-7.975773,37.039249
"146",-5.87,40.02
"147",-5.87,40.11
"148",-7.86956,41.05069
"149",-4.828,36.586
"150",-7.74888,41.13952
"151",-6.8127,40.3039
"152",-5.564,36.897
"153",-7.74888,41.13952
"154",-7.74888,41.13952
"155",-7.74888,41.13952
"156",-7.98991,40.96173
"157",-7.74888,41.13952
"158",-7.74888,41.13952
"159",-7.98991,40.96173
"160",-8.82811,38.44316
"161",-8.82811,38.44316
"162",-8.82811,38.44316
"163",-7.9311,37.08648
"164",-8.82811,38.44316
"165",-8.82811,38.44316
"166",-8.82811,38.44316
"167",-8.82811,38.44316
"168",-8.82811,38.44316
"169",-8.82811,38.44316
"170",-8.82811,38.44316
"171",-8.82811,38.44316
"172",-8.82811,38.44316
"173",-7.243811,37.377614
"174",-7.239053,37.388107
"175",-7.209912,37.383178
"176",-7.088226,37.351134
"177",-7.133084,37.34552
"178",-7.081105,37.39441
"179",-7.9311,37.08648
"180",-8.0436,37.08744
"181",-7.9311,37.08648
"182",-7.9311,37.08648
"183",-7.9311,37.08648
"184",-7.9311,37.08648
"185",-6.843812,37.466457
"186",-7.054136,37.424381
"187",-6.568947,37.047904
"188",-7.9311,37.08648
"189",-8.82811,38.44316
"190",-6.870332,37.232075
"191",-6.78617,37.531046
"192",-7.9311,37.08648
"193",-8.0436,37.08744
"194",-8.0436,37.08744
"195",-7.9311,37.08648
"196",-8.04473,36.99731
"197",-4.443,36.925
"198",-4.480863,36.959369
"199",-7.74888,41.13952
"200",-7.74888,41.13952
"201",-7.98991,40.96173
"202",-7.74888,41.13952
"203",-7.913969,41.001928
"204",-4.1831,34.0494
"205",-3.980225,36.936468
"206",-4.008793,36.93905
"207",-4.101319,36.957338
"208",-7.10619,37.412376
"209",-7.183631,37.417602
"210",-7.17216,37.405244
"211",-7.166331,37.398478
"212",-4.1765,34.043
"213",-7.054184,37.342326
"214",-7.049871,37.350455
"215",-4.970477,36.752435
"216",-7.27244,41.13336
"217",-8.82811,38.44316
"218",-7.145864,37.244916
"219",-8.04473,36.99731
"220",-7.9311,37.08648
"221",-3.643451,37.434259
"222",-4.418843,36.839467
"223",-7.47936,37.17168
"224",-7.012373,37.202327
"225",-6.988786,37.193242
"226",-6.545541,37.006126
"227",-7.000708,37.196173
"228",-7.114163,37.427844
"229",-7.120021,37.424064
"230",-8.04473,36.99731
"231",-6.477215,37.080489
"232",-6.512255,36.996864
"233",-6.650833,37.069212
"234",-5.75,40.12
"235",-7.47936,37.17168
"236",-7.74888,41.13952
"237",-7.74888,41.13952
"238",-7.62976,41.13817
"239",-7.62976,41.13817
"240",-7.62976,41.13817
"241",-7.74888,41.13952
"242",-6.586095,37.106614
"243",-6.496698,36.988521
"244",-6.659537,37.132791
"245",-7.86956,41.05069
"246",-7.86956,41.05069
"247",-6.82,40.22
"248",-7.86956,41.05069
"249",-7.8519,31.2106
"250",-3.703048,36.830204
"251",-3.773669,36.818633
"252",-3.755784,36.785385
"253",-3.740209,36.879873
"254",-3.393198,36.939787
"255",-3.380753,36.864918
"256",-8.82811,38.44316
"257",-8.82811,38.44316
"258",-8.82811,38.44316
"259",-8.82811,38.44316
"260",-8.82811,38.44316
"261",-8.82811,38.44316
"262",-8.82811,38.44316
"263",-8.9427,38.44327
"264",-8.82811,38.44316
"265",-8.82811,38.44316
"266",-8.82811,38.44316
"267",-8.82811,38.44316
"268",-6.669942,37.091262
"269",-6.683664,37.102448
"270",-6.574494,37.021537
