"","decimalLongitude","decimalLatitude"
"1",-6.516209,36.992254
"2",-6.516209,36.992254
"3",-7.846651,43.6978389990577
"4",-7.846651,43.6978389990577
"5",-5.715,36.065
"6",-5.80187,36.09502
"7",-5.80187,36.09502
"8",-5.8121,36.0927
"9",-9.395,39.1094
"10",-7.4403,37.1806
"11",-8.94755,39.93005
"12",-7.40521,37.294692
"13",-6.117977,36.534139
"14",-7.234615,37.361407
"15",-7.223873,37.358215
"16",-7.221224,37.352014
"17",-7.243715,37.377716
"18",-7.210017,37.38303
"19",-7.188996,37.340398
"20",-7.133051,37.34553
"21",-7.234008,37.363869
"22",-6.855004,37.473785
"23",-7.054239,37.424413
"24",-6.86841,37.230174
"25",-7.464347,37.475765
"26",-5.434414,36.169993
"27",-7.10627,37.412382
"28",-7.183588,37.417648
"29",-7.172005,37.405304
"30",-5.436827,36.169322
"31",-6.1228,36.2948
"32",-7.0721,37.2089
"33",-7.276104,37.263111
"34",-6.982607,37.184721
"35",-6.440972,36.905296
"36",-7.00474,37.196199
"37",-7.00883,37.197078
"38",-7.040766,37.207459
"39",-7.098585,37.21537
"40",-6.542243,37.00308
"41",-6.389122,36.907716
"42",-7.016807,37.203338
"43",-7.034448,37.205756
"44",-7.09091,37.221103
"45",-7.086261,37.215112
"46",-7.107477,37.215458
"47",-7.114165,37.427673
"48",-7.11995,37.424012
"49",-6.501625,37.069913
"50",-6.403785,36.82936
"51",-6.398883,36.816084
"52",-6.39164,36.807885
"53",-6.401222,36.882827
"54",-6.51221,36.996847
"55",-6.86547,37.146112
"56",-6.586232,37.106438
"57",-6.4755,36.994343
"58",-6.468268,36.985725
"59",-6.419753,36.923569
"60",-6.41596,36.917534
"61",-6.392615,36.869045
"62",-6.400401,36.848621
"63",-6.415443,36.851307
"64",-6.464426,36.928724
"65",-6.460457,36.934535
"66",-7.09579,37.277918
"67",-6.617931,37.458749
"68",-6.500779,36.963606
"69",-7.309984,37.226833
"70",-6.676222,37.103229
"71",-6.65847,37.085175
"72",-6.673169,37.081702
"73",-6.675496,37.085188
"74",-6.683836,37.102515
"75",-6.573851,37.022205
"76",-6.575474,37.022561
"77",-6.580508,37.028058
"78",-6.580802,37.030969
"79",-6.5996,37.038544
"80",-6.591015,37.020209
"81",-6.582391,37.018641
"82",-6.583821,37.018471
"83",-6.611103,37.041743
"84",-6.760649,37.117597
"85",-6.78615,37.138784
"86",-6.63975,37.045732
"87",-6.630337,37.04657
"88",-6.687515,37.080508
"89",-6.703095,37.08041
"90",-6.727287,37.089705
"91",-6.602894,37.056868
"92",-6.594299,37.041705
"93",-6.584154,37.037021
"94",-6.684244,37.07797
"95",-6.692704,37.085941
"96",-6.669044,37.071028
"97",-6.666322,37.069607
"98",-6.649633,37.051437
"99",-6.556937,37.061617
"100",-6.62543,37.045955
"101",-6.618899,37.049713
"102",-6.616929,37.045872
"103",-6.612158,37.045748
"104",-6.598037,37.037816
"105",-6.673595,37.063292
"106",-6.656147,37.060687
"107",-6.63986,37.051107
"108",-6.645224,37.051609
"109",-6.588627,37.044904
"110",-6.593787,37.059694
"111",-6.61297,37.044155
"112",-6.670389,37.066049
"113",-6.596503,37.030547
"114",-6.659951,37.056119
"115",-6.634609,37.052935
"116",-6.560745,37.041357
"117",-6.549401,37.059356
"118",-6.541736,37.013466
"119",-6.513427,37.005479
"120",-6.589035,37.019188
"121",-6.592019,37.022908
"122",-6.553107,37.023612
"123",-6.662449,37.060844
"124",-6.659591,37.058905
"125",-6.571432,37.035098
"126",-6.608778,37.037985
"127",-6.528999,37.007458
"128",-6.50046,37.022548
"129",-6.545212,37.031201
"130",-6.527653,37.031067
"131",-6.473457,37.01363
"132",-6.522567,36.978845
"133",-6.515584,36.982071
"134",-6.455512,36.923705
"135",-6.745647,37.136189
"136",-6.522165,36.9811
"137",-6.516503,36.981296
"138",-6.506638,36.968479
"139",-6.50847,36.969965
"140",-6.490404,36.959182
"141",-6.724426,37.112579
"142",-6.457191,36.925584
"143",-6.422552,36.866158
"144",-6.412588,36.866283
"145",-6.569951,37.014259
"146",-6.403919,36.827581
"147",-6.405516,36.829725
"148",-6.39563,36.86722
"149",-6.508197,36.981884
"150",-5.812107,36.094084
"151",-5.707255,36.063919
"152",-5.707186,36.063524
"153",-5.707223,36.063631
"154",-6.781166,37.115529
"155",-6.783896,37.118171
"156",-6.784689,37.118948
"157",-6.78534,37.118702
"158",-6.773119,37.112966
"159",-6.76665,37.110442
"160",-6.759748,37.10713
"161",-6.7372,37.104249
"162",-6.740857,37.100836
"163",-6.756442,37.10828
"164",-6.781971,37.123782
"165",-6.785072,37.12371
"166",-6.790718,37.121638
"167",-6.788662,37.123505
"168",-6.802854,37.156392
"169",-6.795869,37.174472
"170",-6.79968,37.175719
"171",-6.634329,37.263012
"172",-6.600962,37.241662
"173",-6.619282,37.214274
"174",-6.573342,37.218994
"175",-6.795385,37.174938
"176",-6.552601,37.143778
"177",-6.308219,36.855595
"178",-6.035233,36.182305
"179",-7.93,37
"180",-7.003328,37.264429
"181",-7.122326,37.208311
"182",-6.814086,37.137806
"183",-6.814604,37.13715
"184",-6.731271,37.101454
"185",-6.743992,37.100332
"186",-6.699333,37.239762
"187",-6.626713,37.192343
