"","decimalLongitude","decimalLatitude"
"1",-8.708155,38.734516
"2",-9.08,39.61
"3",-5.80187,36.09502
"4",-4.74671,36.48711
"5",-8.6,37.36
"6",-9.484119,38.713642
"7",-7.344213,37.263265
"8",-7.333574,37.254613
"9",-6.13964,36.557874
"10",-6.118087,36.534091
"11",-7.234456,37.361403
"12",-7.223775,37.358273
"13",-7.221054,37.352002
"14",-7.243916,37.377664
"15",-7.239035,37.388198
"16",-7.209941,37.383096
"17",-7.189019,37.340397
"18",-7.088023,37.351141
"19",-6.680691,37.523771
"20",-6.679646,37.52138
"21",-6.683371,37.521913
"22",-6.613088,37.566941
"23",-6.704521,37.50681
"24",-6.70244,37.506118
"25",-6.708637,37.502933
"26",-7.101074,37.342167
"27",-6.719131,37.489495
"28",-6.71662,37.490385
"29",-6.690211,37.502114
"30",-6.709085,37.503973
"31",-7.133107,37.345519
"32",-7.113504,37.361534
"33",-6.725227,37.491141
"34",-6.825289,37.486175
"35",-6.811141,37.506739
"36",-6.858831,37.476318
"37",-6.855182,37.473716
"38",-6.839458,37.496858
"39",-6.843443,37.498061
"40",-6.848648,37.491316
"41",-5.380336,36.313213
"42",-7.106352,37.412433
"43",-7.19323,37.416802
"44",-7.183618,37.417584
"45",-7.145793,37.244846
"46",-7.276131,37.2632
"47",-7.251782,37.263069
"48",-7.046789,37.298324
"49",-7.048034,37.299254
"50",-7.004706,37.196182
"51",-6.98883,37.193223
"52",-7.068238,37.283734
"53",-7.093073,37.219038
"54",-7.084602,37.221943
"55",-6.545521,37.006181
"56",-6.535104,36.998834
"57",-7.028261,37.21266
"58",-7.017014,37.203412
"59",-7.069983,37.223843
"60",-7.090785,37.22109
"61",-7.086859,37.215748
"62",-7.152881,37.424975
"63",-7.114103,37.427783
"64",-6.477034,37.080467
"65",-6.50164,37.069985
"66",-6.387785,36.840918
"67",-6.512266,36.996855
"68",-6.650668,37.069289
"69",-7.083202,37.266103
"70",-7.099869,37.2644
"71",-6.475467,36.994371
"72",-6.468349,36.985795
"73",-6.415502,36.851377
"74",-6.412018,36.850946
"75",-6.393653,36.846616
"76",-6.380652,36.841851
"77",-6.373945,36.846123
"78",-6.659645,37.132707
"79",-7.090311,37.258552
"80",-7.309941,37.22687
"81",-6.361893,37.151436
"82",-6.669778,37.091366
"83",-6.658503,37.085147
"84",-6.673056,37.081705
"85",-6.675341,37.085247
"86",-6.683655,37.102494
"87",-6.573809,37.022269
"88",-6.575448,37.02249
"89",-6.580538,37.028229
"90",-6.580774,37.030852
"91",-6.599481,37.038646
"92",-6.598708,37.039174
"93",-6.706918,37.101876
"94",-6.783396,37.134097
"95",-6.778641,37.131934
"96",-6.577088,37.018161
"97",-6.574828,37.020275
"98",-6.575781,37.017128
"99",-6.582245,37.018645
"100",-6.583767,37.0185
"101",-6.610984,37.041846
"102",-6.615074,37.045379
"103",-6.760712,37.117739
"104",-6.786135,37.138928
"105",-6.630216,37.04661
"106",-6.626007,37.04391
"107",-6.718896,37.135861
"108",-6.68751,37.080409
"109",-6.686284,37.074141
"110",-6.690786,37.071911
"111",-6.702997,37.080251
"112",-6.694201,37.076012
"113",-6.69115,37.082891
"114",-6.601007,37.036915
"115",-6.697238,37.082052
"116",-6.596054,37.048652
"117",-6.602929,37.056885
"118",-6.594296,37.041651
"119",-6.584038,37.037168
"120",-6.68442,37.077893
"121",-6.684146,37.075037
"122",-6.658695,37.064131
"123",-6.692688,37.085861
"124",-6.669133,37.070998
"125",-6.667392,37.068944
"126",-6.666281,37.069437
"127",-6.662005,37.066795
"128",-6.656691,37.062662
"129",-6.645323,37.070589
"130",-6.601769,37.099363
"131",-6.648922,37.053018
"132",-6.65055,37.052292
