"","decimalLongitude","decimalLatitude"
"1",-88.911525,33.225244
"2",-93.183646,33.3453
"3",-80.592692,34.829481
"4",-78.752244,35.843753
"5",-85.744351,32.56296
"6",-79.11062,35.734883
"7",-89.800766,33.79754
"8",-88.962975,31.512035
"9",-88.96286,31.511396
"10",-92.480483,34.83577
"11",-88.99704,31.514164
"12",-89.801255,33.797375
"13",-89.349098,34.438297
"14",-83.080857,35.60922
"15",-83.306114,35.513054
"16",-79.098489,35.828483
"17",-83.039719,35.593887
"18",-92.427628,34.989667
"19",-82.681324,35.389666
"20",-77.17925,38.971886
"21",-82.0588,39.536305
"22",-77.204588,38.966003
"23",-85.667663,34.327295
"24",-76.653671,40.010853
"25",-78.673604,37.664674
"26",-77.35856,38.911293
"27",-80.967223,41.330108
"28",-88.915742,37.357162
"29",-73.636955,41.102409
"30",-74.611938,40.141578
"31",-79.01877,40.564904
"32",-74.389856,40.96027
"33",-81.144757,41.068901
"34",-72.579136,44.25757
"35",-76.133083,40.546592
"36",-71.562975,41.906674
"37",-72.219937,42.369719
"38",-83.398421,35.584965
"39",-72.410828,43.643005
"40",-71.626761,42.293713
"41",-71.452941,42.501523
"42",-74.143356,40.55528
"43",-71.157692,42.63179
"44",-71.266181,42.365026
"45",-70.875862,42.009751
"46",-71.322399,42.039227
"47",-71.147268,42.387133
"48",-79.148147,35.778162
"49",-73.850301,40.700948
"50",-79.183328,40.124789
"51",-71.080169,42.451003
"52",-71.636248,42.46246
"53",-71.004359,42.650346
"54",-77.307906,39.037911
"55",-82.60936,35.496234
"56",-72.234878,41.807772
"57",-70.921068,42.479495
"58",-76.573131,39.334329
"59",-73.811461,40.871064
"60",-73.81125,40.871094
"61",-79.221795,42.120633
"62",-77.511082,38.828861
"63",-73.136559,42.027183
"64",-72.926383,41.440103
"65",-77.101744,38.846681
"66",-86.57,33.85
"67",-77.689445,38.88378
"68",-71.195572,42.232272
"69",-71.251803,42.086742
"70",-82.283602,35.656269
"71",-76.640297,39.605592
"72",-77.10902,38.751172
"73",-79.04325,35.935153
"74",-76.343762,39.861775
"75",-76.343762,39.861775
"76",-81.689507,36.212294
"77",-76.677688,39.607028
"78",-72.22671,41.818469
"79",-74.995054,39.834421
"80",-91.01572,43.836277
"81",-79.616961,39.648291
"82",-81.609209,41.305614
"83",-72.350777,43.645966
"84",-80.690216,41.84322
"85",-71.071803,42.08764
"86",-71.340829,42.337672
"87",-75.984516,41.574925
"88",-78.905884,41.600994
"89",-70.959198,41.988544
"90",-81.208692,41.454056
"91",-72.411658,43.643078
"92",-72.560189,41.617158
"93",-72.63079,42.792017
"94",-73.078208,43.141445
"95",-72.000332,43.117793
"96",-72.645538,42.290775
"97",-72.250537,43.825879
"98",-89.727381,43.589083
"99",-74.195419,41.737774
"100",-73.858817,43.562983
"101",-72.579595,44.267162
"102",-72.24002,41.797683
"103",-72.00136,43.117445
"104",-72.410767,43.642975
"105",-72.631477,42.79273
"106",-72.397217,44.54387
"107",-72.5186,42.314638
"108",-72.28789,41.800727
"109",-72.001435,43.117669
"110",-73.279491,42.272362
"111",-73.531724,41.702341
"112",-64.698825,44.532132
"113",-72.380882,43.864105
"114",-72.256028,41.692317
"115",-73.231833,42.426838
"116",-72.788053,43.683409
"117",-76.374415,42.391083
"118",-72.196267,44.04422
"119",-72.477805,42.307122
"120",-71.058653,41.818284
"121",-72.251426,43.821678
"122",-72.487069,43.597223
"123",-83.102797,42.602592
"124",-72.143917,43.591383
"125",-72.137668,43.59476
"126",-72.152605,43.596134
"127",-71.763787,41.504742
"128",-72.799399,43.672714
"129",-73.354927,43.691107
"130",-72.39727,44.543858
"131",-89.846291,44.341187
"132",-72.000488,43.117793
"133",-93.040277,44.619453
"134",-71.773642,43.791409
"135",-71.323476,42.742645
"136",-71.561725,43.724702
"137",-72.040542,43.601662
"138",-70.055568,44.294002
"139",-65.936111,44.609722
"140",-75.083512,42.113407
"141",-84.377492,42.719282
"142",-69.9394,44.542697
"143",-72.519963,45.253443
"144",-77.30391,44.478109
"145",-64.452671,45.324192
"146",-73.439083,45.545363
"147",-72.206351,42.583566
"148",-90.983372,46.362061
"149",-93.146094,44.788303
"150",-73.172661,44.455856
"151",-71.201706,42.128808
"152",-71.793475,42.020409
"153",-73.182838,44.477028
"154",-69.205812,44.178112
"155",-73.513652,40.685363
"156",-73.515812,40.675525
"157",-73.515922,40.676182
"158",-73.515812,40.675525
"159",-72.338978,43.738688
"160",-71.568054,43.105882
"161",-71.119502,42.43766
"162",-90.246755,44.083191
"163",-94.35098,45.473
"164",-83.074997,42.268055
"165",-81.333101,41.176157
"166",-72.207855,42.124868
"167",-74.689378,42.067867
"168",-93.136308,44.765117
"169",-70.055619,44.299256
"170",-72.379272,44.696608
"171",-72.239982,42.30093
"172",-71.492945,42.548815
"173",-71.491483,42.550088
"174",-69.383963,44.447947
"175",-71.737288,43.945235
"176",-72.484112,45.2516
"177",-92.753814,45.119563
"178",-72.32687,42.670458
"179",-72.409509,44.320112
"180",-72.787358,43.376684
"181",-72.947367,42.238962
"182",-71.617735,44.238911
"183",-71.603478,42.112491
"184",-69.299794,44.473526
"185",-72.130262,42.906187
"186",-72.920049,44.200863
"187",-74.310897,45.468661
"188",-72.112756,42.646986
"189",-72.163623,46.213295
"190",-72.163222,46.213201
"191",-71.943519,42.62641
"192",-72.917384,43.584996
"193",-66.476669,45.966946
"194",-71.862633,42.76408
"195",-79.28835,43.048235
"196",-72.910977,43.586893
"197",-83.76759,41.591673
"198",-73.181483,42.362597
"199",-71.884743,41.349468
"200",-71.194733,44.404991
"201",-71.236799,43.919068
"202",-71.243942,43.92233
"203",-73.129367,44.501327
"204",-92.006681,47.827228
"205",-94.452776,46.401324
"206",-71.209759,43.154998
"207",-84.377203,42.718861
"208",-75.335035,45.510987
"209",-72.227366,43.639299
"210",-75.385611,41.233533
"211",-91.1499,46.18336
"212",-94.360161,46.905224
"213",-71.124184,42.451401
"214",-70.601853,41.641817
"215",-69.986647,43.897145
"216",-72.507906,44.288854
"217",-75.701272,45.476545
"218",-72.544753,43.637272
"219",-72.238052,43.804143
"220",-72.250958,43.822756
"221",-72.566748,44.535334
"222",-72.114296,42.651314
"223",-71.340888,42.337684
"224",-93.886055,46.477501
"225",-93.142248,46.827629
"226",-71.117608,44.013511
"227",-94.38682,45.59784
"228",-91.975508,47.711417
"229",-89.519172,44.52158
"230",-69.506753,43.927105
"231",-64.701883,44.532171
"232",-72.702492,44.568705
"233",-89.674672,46.012641
"234",-83.106023,35.452362
"235",-92.286676,45.089972
"236",-66.955075,46.013464
"237",-92.124854,48.261641
"238",-71.870462,44.120164
"239",-71.952812,42.806042
"240",-94.94608,46.95707
"241",-62.03742,45.235989
"242",-72.934713,44.260186
"243",-92.90534,46.508002
"244",-72.733605,44.198472
"245",-71.387733,44.168981
"246",-70.091633,41.760509
"247",-64.552171,44.423133
"248",-93.736731,45.484551
"249",-92.372637,46.651388
"250",-70.708981,44.916816
"251",-71.211291,43.153333
"252",-71.209278,43.155618
"253",-72.852637,44.313766
"254",-68.635269,44.873573
"255",-71.172792,44.159661
"256",-91.203886,47.391652
"257",-72.368469,43.922047
"258",-89.747879,44.363945
"259",-72.790262,43.528151
"260",-92.28585,46.029664
"261",-94.369329,45.553954
"262",-95.17169,47.202306
"263",-71.288528,44.369533
"264",-71.242554,44.398698
"265",-71.484062,43.8268
"266",-71.592427,43.93215
"267",-72.71902,44.354413
"268",-72.388172,44.481473
"269",-72.910977,43.586893
"270",-71.91156,42.128479
"271",-71.1881,43.111358
"272",-72.164153,42.920103
"273",-74.343063,41.679372
"274",-73.027881,44.320075
"275",-65.253053,44.759453
"276",-70.421357,43.978527
"277",-91.244822,47.385122
"278",-89.900094,43.920881
"279",-78.053411,40.910795
"280",-75.34021,45.512171
"281",-89.812867,43.190559
"282",-71.313652,46.790439
"283",-79.108682,35.732518
"284",-73.256675,44.269488
"285",-71.413978,42.247179
"286",-72.893608,44.4189
"287",-71.435391,42.062953
"288",-73.062461,43.902008
"289",-71.24955,42.390767
"290",-74.70444,41.295336
"291",-79.019092,41.949291
"292",-71.19501,44.159371
"293",-72.546295,44.850158
"294",-70.629518,41.795096
"295",-70.439481,43.922708
"296",-72.320244,43.697136
"297",-73.178802,43.263054
"298",-68.78952,45.09335
"299",-78.006785,42.459487
"300",-78.000903,42.459923
"301",-76.276149,41.332442
"302",-92.089056,46.821184
"303",-70.842556,42.493666
"304",-66.584864,46.004623
"305",-76.500212,45.431319
"306",-63.410895,45.099302
"307",-63.964572,45.012852
"308",-73.83761,40.708028
"309",-89.552712,45.496517
"310",-69.359532,45.516677
"311",-69.287458,45.592981
"312",-91.194027,47.4073
"313",-72.001999,43.117549
"314",-64.634453,44.477287
"315",-63.965404,45.012417
"316",-71.25288,44.266797
"317",-83.465211,43.102435
"318",-69.988494,43.889628
"319",-72.568011,43.050604
"320",-90.889226,46.941992
"321",-90.744553,46.924748
"322",-69.758018,43.791143
"323",-72.335048,42.241268
"324",-73.23816,42.573108
"325",-72.554886,41.619697
"326",-70.84113,42.747171
"327",-67.400457,45.606753
"328",-72.902846,42.4729
"329",-71.607483,45.037594
"330",-73.259357,41.470491
"331",-72.789004,43.560705
"332",-71.100536,42.69552
"333",-72.131062,42.627543
"334",-90.061633,46.629961
"335",-72.336663,42.254872
"336",-74.991788,39.828851
"337",-90.458584,46.422903
"338",-74.741621,40.319614
"339",-85.603097,35.351486
"340",-66.170478,45.911507
"341",-74.935912,44.526529
"342",-63.573641,45.610078
"343",-71.092415,42.444885
"344",-71.102353,42.622331
"345",-71.09936,42.446726
"346",-84.64927,36.394858
"347",-84.645287,36.383728
"348",-71.137266,42.691858
"349",-75.746615,39.31348
"350",-91.300476,46.453705
"351",-91.771627,46.383908
"352",-71.752132,44.783926
"353",-84.228992,37.562751
"354",-92.480035,34.836593
"355",-86.400191,34.473056
"356",-92.250763,34.583841
"357",-92.248917,34.584631
"358",-79.055633,35.993012
"359",-83.713612,35.663574
"360",-83.713604,35.663267
"361",-92.943127,34.654293
"362",-92.94282,34.65417
"363",-92.966942,31.034131
"364",-79.107957,35.732718
"365",-79.881116,34.864144
"366",-77.069839,38.833645
"367",-88.838451,37.276399
"368",-83.732613,35.633896
"369",-73.889038,40.893313
"370",-73.842351,40.705693
"371",-72.558936,42.864018
"372",-79.022164,35.983266
"373",-79.585733,39.936856
"374",-79.098817,35.828622
"375",-79.5027,39.863687
"376",-93.165489,44.898551
"377",-77.30362,38.75877
"378",-79.930686,39.771894
"379",-78.489925,38.701398
"380",-73.880388,40.889153
"381",-77.483731,39.658978
"382",-74.32345,40.266749
"383",-84.926852,30.46102
"384",-76.954764,38.915882
"385",-88.279648,37.60234
"386",-83.529271,35.66319
"387",-83.529205,35.663002
"388",-76.208024,38.954733
"389",-73.838832,40.704702
"390",-79.947502,40.857498
"391",-78.866052,36.072388
"392",-71.334111,42.300341
"393",-71.108456,42.43102
"394",-86.666725,32.559417
"395",-71.197838,42.25843
"396",-76.155444,39.652917
"397",-72.253746,43.817281
"398",-73.090683,40.908478
"399",-72.588429,43.852108
"400",-72.345354,43.714887
"401",-72.615662,44.197031
"402",-72.348525,43.714738
"403",-70.853455,42.63726
"404",-72.521777,43.631937
"405",-72.487972,43.597047
"406",-73.137806,42.027314
"407",-72.695675,44.888939
"408",-72.575725,43.045938
"409",-73.346683,43.692775
"410",-73.341197,43.74482
"411",-73.108344,44.411343
"412",-70.221458,43.621262
"413",-70.083074,43.899025
"414",-69.938178,44.539662
"415",-73.513633,40.685262
"416",-79.173845,40.130236
"417",-73.059199,44.700934
"418",-73.064707,44.704526
"419",-73.074379,44.213032
"420",-89.899727,43.921358
"421",-77.289722,44.486541
"422",-72.677542,44.409711
"423",-72.642549,44.374927
"424",-72.741101,42.839253
"425",-92.076889,43.123133
"426",-69.980443,43.890393
"427",-78.020567,41.77367
"428",-93.541202,44.986792
"429",-92.7013,45.69765
"430",-91.943886,47.711113
"431",-72.90378,43.714668
"432",-89.754468,46.53955
