"","decimalLongitude","decimalLatitude"
"1",-85.716783,33.554506
"2",-86.934601,31.438255
"3",-84.629143,32.943554
"4",-83.852567,35.591113
"5",-84.628609,32.944248
"6",-83.385261,33.901999
"7",-84.663169,34.655755
"8",-83.387259,34.948514
"9",-86.092552,34.982552
"10",-79.006294,35.998543
"11",-84.437609,33.932668
"12",-79.104747,35.901404
"13",-79.009711,35.987012
"14",-81.180358,35.817422
"15",-80.802063,35.492985
"16",-84.862195,33.292133
"17",-84.326805,33.914837
"18",-83.966247,34.546362
"19",-84.607235,35.099917
"20",-82.190074,35.713109
"21",-83.390922,34.891472
"22",-81.180358,35.817422
"23",-79.156387,35.61639
"24",-84.064786,34.543367
"25",-86.114078,35.006518
"26",-81.707864,35.952017
"27",-84.343025,34.053276
"28",-83.785479,35.610706
"29",-81.086906,35.282814
"30",-79.086983,35.800848
"31",-85.066611,33.625017
"32",-83.330962,34.592655
"33",-83.877472,34.882336
"34",-84.384633,34.613714
"35",-82.08429,35.698441
"36",-79.194354,36.051494
"37",-79.117108,36.060621
"38",-79.117108,36.060621
"39",-79.147049,36.062828
"40",-79.069687,35.871773
"41",-79.069855,35.872074
"42",-83.222456,35.13372
"43",-84.658429,34.854415
"44",-83.334261,35.233418
"45",-84.730412,33.588093
"46",-84.349883,33.923386
"47",-84.712272,33.576656
"48",-81.475558,35.907795
"49",-84.679209,34.270084
"50",-84.717922,34.145943
"51",-84.717922,34.145943
"52",-80.178825,35.86885
"53",-79.783305,35.646161
"54",-84.62873,33.751463
"55",-84.627717,33.738033
"56",-84.313719,33.874473
"57",-84.717922,34.145943
"58",-79.144485,36.057961
"59",-83.929421,34.734057
"60",-83.748784,35.635925
"61",-82.813658,34.7494
"62",-81.180358,35.817422
"63",-80.046829,35.314546
"64",-80.524056,34.665886
"65",-80.728027,35.30656
"66",-81.372793,35.759115
"67",-81.412788,35.659088
"68",-84.297245,33.874458
"69",-80.947453,35.39688
"70",-83.710531,35.661716
"71",-82.772193,35.708332
"72",-84.717922,34.145943
"73",-84.949093,34.99643
"74",-84.948829,34.992994
"75",-83.727214,35.62847
"76",-83.733159,35.633298
"77",-83.148085,34.681411
"78",-82.821658,34.674292
"79",-80.491112,36.264167
"80",-82.629588,34.71897
"81",-84.356355,34.816752
"82",-82.32664,35.266591
"83",-83.732397,35.631517
"84",-83.805427,35.673687
"85",-83.805476,35.673717
"86",-85.855901,33.559175
"87",-79.032775,35.897258
"88",-84.949368,34.992883
"89",-83.186754,35.051378
"90",-83.50702,35.653194
"91",-83.50702,35.653194
"92",-83.50702,35.653194
"93",-83.50702,35.653194
"94",-83.50702,35.653194
"95",-83.50702,35.653194
"96",-83.923938,33.250256
"97",-84.463299,33.811963
"98",-84.254946,34.640747
"99",-85.615281,34.502628
"100",-85.962059,31.795261
"101",-83.922903,34.742129
"102",-83.922646,34.742198
"103",-81.432628,35.857245
"104",-83.040017,35.167757
"105",-83.230178,34.879305
"106",-83.914351,34.927021
"107",-83.936855,34.739813
"108",-83.55747,34.988816
"109",-83.770836,34.695
"110",-82.444839,35.271268
"111",-79.144303,36.057778
"112",-83.609581,34.666824
"113",-78.944471,36.141784
"114",-85.483536,32.660325
"115",-84.544512,33.991525
"116",-85.483003,32.660958
"117",-85.399673,33.374281
"118",-85.349953,33.923078
"119",-85.350862,33.925483
"120",-85.483922,32.661156
"121",-78.999861,36.008031
"122",-83.15798,34.921588
"123",-85.61763,34.498196
"124",-79.032002,35.982075
"125",-84.44815,33.920063
"126",-81.180358,35.817422
"127",-84.613464,34.805076
"128",-83.737778,35.616665
"129",-79.015913,35.984555
"130",-80.851975,35.5136
"131",-79.052635,35.99194
"132",-78.96512,36.059722
"133",-84.634509,34.986058
"134",-79.040884,35.914473
"135",-79.003544,35.982104
"136",-79.05281,35.991923
"137",-83.856188,35.592687
"138",-83.525429,35.706727
"139",-79.122151,36.064771
"140",-84.521059,34.867077
"141",-84.582775,34.825905
"142",-84.592409,34.843993
"143",-79.124351,36.064725
"144",-84.582717,34.855963
"145",-84.567717,34.873274
"146",-83.411522,35.023328
"147",-83.433656,35.180692
"148",-78.784031,35.725313
"149",-81.013306,35.506778
"150",-78.96745,36.060883
"151",-83.727909,35.628819
"152",-83.732903,35.631954
"153",-83.591055,34.655053
"154",-83.728028,35.628839
"155",-83.738157,35.636866
"156",-83.738428,35.638922
"157",-79.103333,35.82053
"158",-83.042372,35.054855
"159",-79.032561,35.897125
"160",-79.08371,35.93525
"161",-82.250285,35.432735
"162",-84.317995,33.809145
"163",-82.688972,35.143845
"164",-83.0607,35.143547
"165",-85.623568,34.499446
"166",-84.621796,33.754196
"167",-85.592766,34.423012
"168",-84.065562,34.543664
"169",-84.093688,34.618847
"170",-79.009632,35.986814
"171",-85.618742,34.498933
"172",-85.632012,34.380053
"173",-84.383077,34.003779
"174",-83.385613,34.918253
"175",-79.052827,35.99542
"176",-83.107764,35.141589
"177",-84.706009,34.757885
"178",-83.807542,35.48045
"179",-83.809937,35.484487
"180",-84.434359,33.916339
"181",-83.342837,34.888458
"182",-79.031279,35.899084
"183",-80.948364,35.398448
"184",-81.023567,35.098167
"185",-80.947937,35.398003
"186",-79.037822,35.914902
"187",-79.051078,35.986513
"188",-80.915628,35.360227
"189",-80.929325,35.383215
"190",-80.524147,34.664117
"191",-82.305795,35.817174
"192",-79.053475,35.994728
"193",-81.180358,35.817422
"194",-79.051578,35.986577
"195",-82.80912,34.98363
"196",-79.032683,35.899653
"197",-80.975358,35.331417
"198",-78.784275,35.724945
"199",-78.784275,35.724945
"200",-78.783709,35.72385
"201",-80.802547,35.493218
"202",-79.052915,35.99196
"203",-81.116891,35.719107
"204",-82.121107,35.45494
"205",-82.018083,35.571298
"206",-85.617226,34.498703
"207",-85.597618,34.432137
"208",-85.59713,34.432236
"209",-84.343082,34.300981
"210",-80.524109,34.66405
"211",-84.574592,35.116835
"212",-84.574261,35.117695
"213",-84.065938,34.544521
"214",-79.005893,36.073813
"215",-86.08199,34.978801
"216",-84.578072,35.113799
"217",-85.422753,33.649022
