"","decimalLongitude","decimalLatitude"
"1",-79.009186,35.98733
"2",-84.082885,34.148258
"3",-83.940841,33.234945
"4",-84.323995,33.775105
"5",-79.014397,35.985
"6",-84.292128,30.891973
"7",-84.292128,30.891489
"8",-78.758215,35.717837
"9",-78.78169,35.725645
"10",-78.966415,35.968958
"11",-79.045416,35.889651
"12",-84.134773,33.657165
"13",-80.101411,35.536278
"14",-80.592442,34.829159
"15",-79.071604,35.923653
"16",-79.031807,35.898331
"17",-78.852242,36.068772
"18",-84.625266,33.742014
"19",-78.773413,35.96638
"20",-78.869362,36.071628
"21",-78.981378,36.05607
"22",-78.785404,35.821107
"23",-79.010375,35.987033
"24",-78.989922,36.044914
"25",-81.050628,36.39812
"26",-79.819542,36.61333
"27",-84.119567,34.189972
"28",-84.444787,33.885058
"29",-78.79023,35.833545
"30",-79.8986,35.579824
"31",-78.781622,35.813329
"32",-84.745214,34.282872
"33",-79.438776,35.994294
"34",-82.976922,35.529728
"35",-83.92314,33.248659
"36",-84.533822,35.222488
"37",-79.840179,36.089958
"38",-83.047798,35.542439
"39",-83.598647,33.664339
"40",-79.438708,35.994424
"41",-84.322834,33.77589
"42",-82.476395,35.630008
"43",-82.70364,35.032979
"44",-78.857392,36.0717
"45",-78.992522,36.043681
"46",-83.797559,34.715128
"47",-78.853797,36.068833
"48",-80.826512,35.011219
"49",-79.080664,35.929939
"50",-81.025154,35.602824
"51",-85.718024,33.60467
"52",-82.401185,35.448093
"53",-79.036805,36.037383
"54",-81.180358,35.817422
"55",-79.0495,35.992595
"56",-79.003432,35.980144
"57",-84.111244,33.66595
"58",-78.984409,36.05215
"59",-81.036555,36.381305
"60",-83.200272,35.303775
"61",-79.000267,36.041978
"62",-79.440835,35.994083
"63",-78.691311,36.023771
"64",-79.035058,35.954312
"65",-84.291457,30.8911
"66",-78.754494,35.718082
"67",-78.956797,36.165462
"68",-79.045411,35.889687
"69",-84.291803,30.891699
"70",-84.850918,30.696598
"71",-84.851335,30.696631
"72",-79.007478,36.075508
"73",-84.221947,33.615171
"74",-79.045525,35.889712
"75",-85.897804,32.68509
"76",-84.5295,30.486169
"77",-79.012138,35.985992
"78",-79.003394,36.083787
"79",-78.998844,35.984942
"80",-84.281065,33.762801
"81",-84.118264,33.671497
"82",-78.96473,36.060058
"83",-80.519977,34.658193
"84",-82.521572,35.07154
"85",-78.868481,36.068523
"86",-84.201571,33.730255
"87",-78.919372,36.068756
"88",-85.701017,33.594112
"89",-78.815131,36.119732
"90",-79.045303,35.889595
"91",-78.9103,35.777279
"92",-82.160678,33.688468
"93",-84.173735,33.623301
"94",-84.120084,33.668357
"95",-84.158372,33.805788
