"","decimalLongitude","decimalLatitude"
"1",-86.3683,32.447934
"2",-85.483077,32.594653
"3",-86.57,33.85
"4",-93.99358,34.39162
"5",-79.032883,35.899842
"6",-79.00636,35.999727
"7",-85.913689,32.611002
"8",-88.745898,33.459041
"9",-86.365585,34.613266
"10",-84.306045,33.471957
"11",-93.385345,34.512305
"12",-84.294201,33.496097
"13",-86.57,33.85
"14",-85.808171,34.355829
"15",-82.370493,36.389958
"16",-92.47998,34.836422
"17",-86.784836,32.044381
"18",-78.868392,36.073403
"19",-85.364795,35.010089
"20",-79.045688,35.889564
"21",-84.070908,36.107433
"22",-85.364585,35.01013
"23",-81.040438,33.942334
"24",-92.478231,35.290807
"25",-79.468189,33.210609
"26",-88.222839,34.63007
"27",-84.308144,33.471309
"28",-85.36767,35.006594
"29",-86.106815,35.485271
"30",-81.016723,35.101518
"31",-79.110144,35.975067
"32",-78.783003,35.839983
"33",-86.534314,34.763757
"34",-86.528763,34.674781
"35",-78.162164,38.21317
"36",-84.712188,33.572139
"37",-79.096742,35.971488
"38",-92.657002,34.870123
"39",-92.351794,34.971677
"40",-87.306222,36.552105
"41",-79.10252,35.97792
"42",-94.111767,35.696236
"43",-79.162535,35.776598
"44",-91.794843,33.939446
"45",-90.70944,35.776958
"46",-93.919066,34.420934
"47",-87.303944,36.555929
"48",-78.162164,38.21317
"49",-85.265439,34.565287
"50",-79.729278,37.111687
"51",-85.367438,35.004253
"52",-85.482331,34.858376
"53",-84.626882,33.751749
"54",-83.92314,33.248659
"55",-86.901919,36.270233
"56",-79.0178,35.98242
"57",-93.96199,36.318573
"58",-84.305563,33.471634
"59",-86.190826,34.44396
"60",-80.159644,34.9966
"61",-86.980329,33.007962
"62",-81.017582,35.101252
"63",-94.101102,36.326751
"64",-83.776686,35.666485
"65",-87.265838,36.499022
"66",-94.101227,36.324787
"67",-79.035225,35.954175
"68",-84.67923,37.815919
"69",-84.383889,37.892222
"70",-79.006511,36.07934
"71",-80.944283,35.405433
"72",-77.562334,37.546383
"73",-84.677721,37.817855
"74",-84.451359,34.62428
"75",-85.256421,35.187545
"76",-92.463694,34.681932
"77",-93.17812,35.319686
"78",-84.717025,37.817377
"79",-83.117217,35.748222
"80",-87.034697,33.058217
"81",-87.580292,37.000661
"82",-93.700937,36.255025
"83",-84.349738,33.665692
"84",-81.524722,35.936667
"85",-87.034547,33.0584
"86",-84.387362,37.89055
"87",-78.9932,35.982675
"88",-78.474595,37.996522
"89",-84.162667,34.236703
"90",-93.23656,35.678706
"91",-78.998488,36.008511
"92",-84.117451,35.935649
"93",-87.57817,37.002664
"94",-85.363005,35.010461
"95",-93.965726,36.31796
"96",-92.4098,34.756026
"97",-80.033019,36.191656
"98",-86.363008,34.612987
"99",-86.537322,34.715028
"100",-79.008567,35.983471
"101",-84.440394,33.88239
"102",-86.364425,34.612403
"103",-85.488921,32.545845
"104",-83.478508,33.372545
"105",-86.825213,33.424884
"106",-79.006547,36.079231
"107",-82.177096,39.400865
"108",-94.520912,37.025701
"109",-78.784395,35.818408
"110",-85.366098,35.009323
"111",-78.920689,36.068618
"112",-83.426983,35.472756
"113",-86.217583,34.387388
"114",-86.217583,34.387389
