"","decimalLongitude","decimalLatitude"
"1",-89.98499,35.145549
"2",-77.136142,35.027792
"3",-90.986176,30.478339
"4",-87.472897,33.191314
"5",-95.238337,31.544081
"6",-77.479905,37.530613
"7",-94.762701,31.495343
"8",-86.36791,32.44828
"9",-90.99035,30.476933
"10",-86.448303,32.350014
"11",-92.616756,31.376755
"12",-86.57,33.85
"13",-90.133286,34.756863
"14",-95.04232,32.469441
"15",-94.692372,30.860332
"16",-92.647631,32.544475
"17",-94.762316,31.497901
"18",-91.364588,30.994756
"19",-91.025389,30.424495
"20",-94.728399,31.37515
"21",-94.175505,32.692162
"22",-86.322308,33.476939
"23",-91.488358,30.981568
"24",-88.037515,34.773813
"25",-91.107472,30.409224
"26",-79.037339,35.900372
"27",-95.095386,33.05256
"28",-81.034532,33.937924
"29",-87.475141,33.185242
"30",-94.699829,34.154694
"31",-94.51579,32.550264
"32",-90.634226,35.696947
"33",-89.989212,35.14695
"34",-85.874662,32.295639
"35",-94.180366,32.690242
"36",-86.791334,34.567413
"37",-86.621845,34.574762
"38",-86.57,33.85
"39",-94.688988,31.579975
"40",-77.485316,37.537135
"41",-84.402145,39.277783
"42",-94.949797,35.75917
"43",-93.679502,32.611148
"44",-92.496538,35.074487
"45",-95.347505,32.668604
"46",-95.412265,32.597061
"47",-93.875561,32.641389
"48",-88.770161,33.302
"49",-78.946832,36.06945
"50",-93.166252,35.308581
"51",-95.31573,32.250692
"52",-95.32336,32.24867
"53",-91.971962,34.305153
"54",-94.22105,36.042872
"55",-84.305563,33.471634
"56",-92.633184,32.591202
"57",-91.107284,30.368126
"58",-91.802396,33.959026
"59",-89.984968,35.145805
"60",-86.711769,34.776946
"61",-79.134147,35.765624
"62",-89.99015,35.146881
"63",-85.914465,32.660569
"64",-89.984395,35.146237
"65",-93.950213,31.468702
"66",-77.118294,38.861832
"67",-94.002628,33.488094
"68",-79.824325,36.61367
"69",-81.033307,33.938537
"70",-95.120816,30.010803
"71",-77.48365,37.53793
"72",-77.461774,38.837453
"73",-78.9414,35.98917
"74",-75.343684,39.997061
"75",-79.108655,35.732441
"76",-94.256346,36.23181
"77",-77.136519,38.441803
"78",-94.122569,36.071441
"79",-81.874791,36.142084
"80",-86.90787,35.761541
"81",-86.907645,35.761621
"82",-95.75232,30.506395
"83",-94.063377,36.054396
"84",-77.45072,37.685175
"85",-89.685708,33.291503
"86",-77.070435,38.790446
"87",-85.343814,33.936225
"88",-77.123009,38.86545
"89",-83.869347,35.9418
"90",-94.001071,31.481009
"91",-84.361356,37.899353
"92",-93.94865,31.4774
"93",-78.757181,35.840287
"94",-91.208897,31.614033
"95",-86.907443,35.761914
"96",-85.183272,34.99775
"97",-78.971647,36.062104
"98",-94.635278,31.611667
"99",-77.929367,37.673651
"100",-79.036894,35.931463
"101",-80.769287,35.145917
"102",-90.716213,35.972652
"103",-85.065975,35.438718
"104",-76.161296,38.897446
"105",-86.907169,35.76309
"106",-94.175219,32.692431
"107",-82.446021,35.608637
"108",-86.907482,35.763107
"109",-79.08068,35.930601
"110",-77.140883,38.87153
"111",-85.363258,35.010356
"112",-78.994862,35.937783
"113",-89.260236,32.203201
"114",-86.90765,35.762942
"115",-79.081047,35.942587
"116",-78.966182,36.061898
"117",-90.012279,32.368356
"118",-85.366346,35.009596
"119",-77.090603,38.902673
"120",-94.078789,33.487675
"121",-86.907121,35.76279
"122",-86.907601,35.761461
"123",-85.18373,34.997437
"124",-89.259881,32.204708
"125",-80.116581,37.270773
"126",-86.502479,34.636252
"127",-78.953415,35.9176
"128",-78.96724,36.061845
"129",-78.481628,38.050625
"130",-77.474525,37.524181
"131",-84.064334,34.544512
"132",-78.541852,35.769711
"133",-77.2052,38.9764
"134",-90.984917,30.37148
"135",-84.677616,37.822671
"136",-83.828979,34.244424
"137",-89.834562,35.119274
"138",-86.907636,35.761515
"139",-77.801926,35.959938
"140",-83.659011,35.814524
"141",-94.728399,31.37515
"142",-95.735712,30.49052
"143",-76.856058,38.508456
"144",-95.417717,32.132103
"145",-87.267563,36.496333
"146",-86.907565,35.761555
"147",-79.121494,36.065162
"148",-77.070382,38.790464
"149",-81.036226,33.935311
"150",-77.121933,38.86065
"151",-78.953669,35.917345
"152",-90.19105,33.054306
"153",-94.131386,32.545442
"154",-95.588767,32.329342
"155",-89.283699,31.841576
"156",-83.539768,35.958955
"157",-79.007285,35.981046
"158",-78.964514,36.061454
"159",-95.880379,32.206654
"160",-89.661619,35.152578
"161",-86.906719,35.763287
"162",-78.700472,35.686938
"163",-76.912987,39.071392
"164",-77.068192,38.789126
"165",-86.516597,34.652572
"166",-78.953805,35.917395
"167",-89.984892,35.144259
"168",-91.038989,30.426337
"169",-90.990455,30.476862
"170",-92.06073,30.149472
"171",-91.300147,31.581844
"172",-89.915543,35.110123
"173",-87.08734,34.41518
"174",-94.727423,31.37416
"175",-86.57,33.85
"176",-95.573655,31.592167
"177",-91.293313,31.573585
"178",-90.990341,30.477129
"179",-86.951669,34.547851
"180",-81.03278,33.935503
"181",-86.810534,33.167474
"182",-94.646539,31.629
"183",-94.647313,31.629234
"184",-90.990883,30.477203
"185",-85.717821,33.60443
"186",-87.976709,31.607037
"187",-86.57,33.85
"188",-87.514038,31.548625
"189",-94.204156,30.65578
"190",-95.357216,32.592361
"191",-94.368945,30.673611
"192",-87.078011,33.018343
"193",-86.552361,34.738388
"194",-89.260857,32.203106
"195",-86.77176,33.304774
"196",-88.200039,32.607068
"197",-86.865929,31.924974
"198",-84.324678,33.776867
"199",-94.792091,32.293148
"200",-90.31974,32.343094
"201",-79.746775,33.274112
"202",-91.430308,31.36281
"203",-86.125404,32.096851
"204",-95.573967,31.592442
"205",-95.987535,33.726064
"206",-92.494025,34.837908
"207",-85.805354,36.081627
"208",-86.932922,31.367636
"209",-78.941208,35.989687
"210",-94.727769,31.374222
"211",-85.367538,35.003831
"212",-78.75402,35.71672
"213",-83.391852,33.90515
"214",-94.725571,31.314259
"215",-95.082718,33.736282
"216",-89.282042,32.207325
"217",-86.103185,35.491184
"218",-86.590112,34.808617
"219",-78.754187,35.717798
"220",-94.725561,31.314256
"221",-86.951541,34.547807
"222",-85.957422,34.231501
