"","decimalLongitude","decimalLatitude"
"1",-86.57,33.85
"2",-94.693649,34.13586
"3",-93.738715,34.47061
"4",-94.050072,34.375296
"5",-94.107136,34.43828
"6",-93.896656,34.423658
"7",-93.932479,34.445448
"8",-93.900193,34.362859
"9",-76.884192,39.357365
"10",-93.858492,34.536135
"11",-79.059976,35.983966
"12",-79.007285,35.981046
"13",-83.576212,37.825884
"14",-78.85415,36.070553
"15",-84.474286,36.140247
"16",-84.623198,33.752351
"17",-78.755251,35.717478
"18",-78.758006,35.717877
"19",-83.507403,36.340533
"20",-83.449128,38.115803
"21",-78.962897,36.061792
"22",-79.013192,35.985162
"23",-85.776733,38.08852
"24",-86.57,33.85
"25",-79.003686,35.981726
"26",-87.439605,35.559053
"27",-77.207818,38.977083
"28",-83.355933,38.090089
"29",-84.900166,37.544339
"30",-86.859122,33.620005
"31",-77.420555,38.257553
"32",-77.306719,39.038678
"33",-79.521667,40.563332
"34",-83.199012,38.850584
"35",-83.609222,37.839455
"36",-79.032997,35.897142
"37",-94.187255,34.271744
"38",-78.685479,37.734749
"39",-83.688375,37.77692
"40",-77.14273,38.960062
"41",-77.47746,37.525531
"42",-87.318628,35.945288
"43",-79.122786,40.597178
"44",-86.51368,39.17228
"45",-77.004382,38.994708
"46",-77.307122,39.039321
"47",-78.020408,38.955722
"48",-78.853943,36.069237
"49",-87.319367,35.945817
"50",-79.057716,35.983257
"51",-79.063775,35.888062
"52",-86.344309,39.181334
"53",-78.024389,38.952567
"54",-82.961592,40.202144
"55",-87.845558,36.263867
"56",-83.470722,35.663627
"57",-85.670418,34.324409
"58",-84.324804,33.776126
"59",-78.753465,35.718661
"60",-77.495829,37.53815
"61",-84.624175,33.749547
"62",-83.523998,35.707355
"63",-76.875532,39.318711
"64",-79.058002,35.98392
"65",-78.104936,38.880619
"66",-79.271478,40.1611
"67",-77.309508,39.040973
"68",-76.696125,39.30105
"69",-76.888451,39.334774
"70",-76.703453,39.302092
"71",-77.309577,39.040723
"72",-78.002666,38.965052
"73",-83.412117,35.021336
"74",-83.433669,35.180797
"75",-77.686128,39.331708
"76",-76.946678,39.198833
"77",-76.640358,39.32567
"78",-78.013218,38.959489
"79",-78.958471,40.498414
"80",-79.000256,35.980396
"81",-94.805915,34.215788
"82",-79.148025,35.778697
"83",-79.062025,35.981947
"84",-79.053239,35.992008
"85",-83.67926,37.85541
"86",-84.343082,34.300981
"87",-79.057702,35.984793
"88",-78.756288,35.717619
"89",-77.008187,39.03623
"90",-79.05766,35.983655
"91",-83.434274,35.465738
"92",-83.492939,35.636058
"93",-82.048057,36.121408
"94",-78.929645,36.068735
"95",-78.845122,36.14232
"96",-79.061902,35.983109
"97",-79.053967,35.993779
"98",-83.179121,36.94934
"99",-77.207344,38.977066
"100",-86.233578,39.248048
"101",-83.489545,35.611764
"102",-79.050695,36.032144
"103",-78.852997,36.067972
