"","decimalLongitude","decimalLatitude"
"1",-75.212205,40.059185
"2",-96.757401,32.762098
"3",-86.285331,32.350046
"4",-94.726292,32.463208
"5",-86.285422,32.350033
"6",-86.285348,32.350002
"7",-86.285325,32.349977
"8",-96.673,30.109194
"9",-93.232378,33.296861
"10",-96.054523,30.233158
"11",-96.323985,30.599357
"12",-76.874815,39.334148
"13",-89.870425,32.578463
"14",-97.098056,33.016389
"15",-97.723343,30.282389
"16",-96.779749,35.135986
"17",-76.758377,39.231968
"18",-91.383081,31.543174
"19",-92.039986,30.368244
"20",-96.070804,31.781223
"21",-76.708437,39.623695
"22",-87.094714,33.295454
"23",-77.206963,38.976495
"24",-96.333119,30.635336
"25",-93.204236,35.289422
"26",-85.731473,38.202642
"27",-86.295666,39.860531
"28",-86.903328,36.070561
"29",-85.364538,35.00975
"30",-93.935037,34.400136
"31",-93.451376,35.469661
"32",-86.57,33.85
"33",-95.874578,32.35691
"34",-92.646591,32.527643
"35",-77.206963,38.976483
"36",-77.207053,38.976763
"37",-88.969586,33.518546
"38",-87.813012,34.635375
"39",-86.45829,32.364784
"40",-86.582511,39.108679
"41",-84.224793,37.460341
"42",-78.964439,36.061054
"43",-78.7548,35.718359
"44",-89.786258,34.392008
"45",-80.361389,40.5075
"46",-78.90696,35.720928
"47",-86.284845,32.348433
"48",-92.039986,30.368246
"49",-98.187105,33.209284
"50",-95.89031,30.434774
"51",-92.040001,30.368383
"52",-87.618717,32.692005
"53",-82.837495,40.010987
"54",-85.369111,37.251656
"55",-85.92537,36.186588
"56",-95.908888,36.209396
"57",-97.067485,36.153465
"58",-94.664475,31.60102
"59",-96.066723,31.78225
"60",-78.962662,36.061353
"61",-94.657071,31.620616
"62",-79.792192,40.533505
"63",-97.139499,35.442687
"64",-79.779477,40.306008
"65",-95.699495,32.931105
"66",-92.244592,34.819133
"67",-85.77085,38.184221
"68",-94.621796,35.236622
"69",-92.463626,34.681376
"70",-92.644488,32.533691
"71",-97.148843,33.251501
"72",-92.477508,35.286539
"73",-86.892312,36.067856
"74",-89.912621,34.483036
"75",-78.996977,35.980245
"76",-92.646712,32.527476
"77",-86.893128,36.066078
"78",-84.545821,35.233526
"79",-95.414495,32.593102
"80",-92.99095,34.50421
"81",-76.712325,39.626103
"82",-79.045021,35.88982
"83",-86.81925,34.648324
"84",-90.045105,35.343155
"85",-92.261428,34.699148
"86",-87.751697,41.396019
"87",-77.244663,39.019998
"88",-86.284896,32.349045
"89",-88.822988,33.443447
"90",-78.998584,35.980126
"91",-95.456035,32.788881
"92",-78.851959,36.067498
"93",-85.290186,35.118081
"94",-96.595311,32.920111
"95",-77.886842,38.961688
"96",-94.416947,35.828717
"97",-76.79943,38.886372
"98",-88.79398,33.448366
"99",-92.411152,34.756855
"100",-78.777497,35.834388
"101",-87.22476,33.535839
"102",-94.043207,32.462873
"103",-97.729381,30.182592
"104",-96.956933,32.638519
"105",-78.759622,35.882089
"106",-77.278113,38.933842
"107",-86.675255,33.6242
"108",-94.107405,36.210197
"109",-79.140555,35.943062
"110",-95.699395,32.931137
"111",-79.034701,35.992875
"112",-93.162475,35.248988
"113",-80.996259,39.982129
"114",-78.782067,35.724572
"115",-78.998503,35.979533
"116",-95.699395,32.931137
"117",-97.729484,30.18216
"118",-79.03201,35.898873
"119",-92.416489,30.455973
"120",-95.87973,32.207066
"121",-92.492991,34.839493
"122",-80.453689,37.240703
"123",-77.132294,38.826138
"124",-81.013479,40.042677
"125",-85.007872,35.792533
"126",-94.117244,35.865982
"127",-89.291345,37.63897
"128",-96.647059,33.665097
"129",-78.868645,36.073095
"130",-82.303168,35.221052
"131",-94.195629,33.390354
"132",-78.932214,35.622958
"133",-84.629224,37.772282
"134",-94.187155,36.106061
"135",-84.629467,37.772097
"136",-84.630157,37.771115
"137",-82.366792,36.389745
"138",-84.369386,42.705278
"139",-86.051604,36.516984
"140",-92.463739,35.094518
"141",-78.964828,35.96913
"142",-86.109894,35.479678
"143",-94.171201,36.362731
"144",-78.756389,35.844444
"145",-96.270285,30.577269
"146",-84.217521,37.581403
"147",-77.604242,39.027889
"148",-75.421157,40.023584
"149",-79.060972,35.985214
"150",-78.62341,35.88818
"151",-94.112039,32.697645
"152",-88.728809,33.41666
"153",-90.078553,32.425322
"154",-84.238756,37.555617
"155",-77.423928,38.857492
"156",-75.98475,39.222175
"157",-89.525394,34.37292
"158",-93.835578,35.830672
"159",-85.348986,34.973129
"160",-86.884003,36.071675
"161",-95.698683,30.358414
"162",-85.367828,35.007106
"163",-87.26692,36.497597
"164",-78.969154,36.058945
"165",-86.106872,35.485245
"166",-85.364808,35.009719
"167",-96.630487,32.304358
"168",-88.058942,41.818668
"169",-93.138278,35.289461
"170",-76.882242,39.231525
"171",-78.964465,36.061543
"172",-84.29389,37.497809
"173",-97.110278,33.109722
"174",-86.935493,40.427066
"175",-77.543941,39.275227
"176",-77.156427,38.823928
"177",-88.210922,40.128525
"178",-89.820482,35.142937
"179",-75.772892,39.741367
"180",-88.046019,41.815328
"181",-95.877968,32.207939
"182",-79.443785,35.985796
"183",-84.642228,37.826042
"184",-78.849654,36.069533
"185",-77.094343,38.622682
"186",-88.948353,33.46764
"187",-79.897392,40.51827
"188",-77.530547,39.130061
"189",-77.2231,38.794845
"190",-96.648062,32.706733
"191",-77.278162,38.91638
"192",-86.361381,36.377087
"193",-78.36525,38.180338
"194",-94.71806,37.416851
"195",-92.345732,34.750995
"196",-84.240505,37.55467
"197",-86.935493,40.427066
"198",-94.169171,36.06682
"199",-92.497616,35.073707
"200",-94.170564,36.362568
"201",-76.750678,39.034242
"202",-77.892639,37.914163
"203",-77.515062,37.549362
"204",-82.638214,38.472042
"205",-86.611693,36.304194
"206",-85.955522,37.987704
"207",-79.788567,40.532925
"208",-94.74736,32.537132
"209",-77.511903,37.54532
"210",-81.145681,34.628573
"211",-80.830546,35.009573
"212",-92.478767,34.835738
"213",-77.198073,38.66784
"214",-77.123139,38.755225
"215",-88.923797,38.309922
"216",-93.144425,35.293631
"217",-86.682787,34.786112
