"","decimalLongitude","decimalLatitude"
"1",-78.85132,36.068145
"2",-78.773238,35.966658
"3",-79.000197,35.979939
"4",-78.755239,35.718912
"5",-78.758208,35.717072
"6",-78.758805,35.869203
"7",-78.728798,35.818434
"8",-78.72987,35.824935
"9",-77.89016,36.775385
"10",-77.88988,36.775995
"11",-84.250641,33.73206
"12",-78.733047,35.814615
"13",-85.235825,35.235661
"14",-78.753762,35.839505
"15",-79.031936,35.89775
"16",-78.865243,36.07329
"17",-78.574064,35.938132
"18",-78.731901,35.81421
"19",-78.97013,36.060622
"20",-79.026677,35.992291
"21",-78.717224,35.809788
"22",-78.717215,35.809238
"23",-78.970313,36.060692
"24",-79.147147,35.776703
"25",-79.058083,35.984703
"26",-79.048042,35.989362
"27",-78.716803,35.809568
"28",-79.007416,35.987141
"29",-78.845978,36.14402
"30",-78.87175,36.069553
"31",-78.762305,35.870472
"32",-79.054476,35.987362
"33",-79.054476,35.987362
"34",-84.08606,33.816196
"35",-83.877083,34.043556
"36",-78.782255,35.400566
"37",-78.752366,35.71881
"38",-78.980237,36.057593
"39",-78.965553,35.97361
"40",-78.966393,35.967777
"41",-78.753516,35.718718
"42",-78.855569,36.071454
"43",-78.752968,35.718849
"44",-78.755364,35.717528
"45",-78.750257,35.865037
"46",-78.946303,35.987026
"47",-78.946156,35.987552
"48",-78.96833,35.967224
"49",-78.96833,35.967224
"50",-78.823828,35.776447
"51",-79.063987,35.980519
"52",-78.998421,36.008576
"53",-78.967224,35.973057
"54",-84.887781,35.706998
"55",-79.13154,35.763932
"56",-79.017283,35.980995
"57",-79.114421,35.73871
"58",-78.854454,36.083145
"59",-78.999587,35.977212
"60",-78.845165,35.055639
"61",-78.91617,35.980347
"62",-78.998769,35.9781
"63",-78.970219,35.926874
"64",-78.744586,35.847812
"65",-78.716612,35.810781
"66",-78.730971,35.869949
"67",-78.742287,35.841053
"68",-79.056082,35.986245
"69",-78.855448,36.071024
"70",-78.855448,36.071024
"71",-78.757188,35.718147
"72",-78.679615,35.697935
"73",-78.865442,36.07295
"74",-80.805671,35.086221
"75",-83.380297,33.984566
"76",-79.048294,35.989297
"77",-79.80935,43.206027
"78",-78.823942,35.78017
"79",-84.117489,34.190319
"80",-78.732731,35.817987
"81",-79.000256,35.980396
"82",-80.777991,35.457082
"83",-78.96653,35.968845
"84",-80.173465,35.509093
"85",-78.966415,35.968906
"86",-78.963981,35.969109
"87",-78.966652,35.968918
"88",-78.97882,35.955978
"89",-78.966476,35.96891
"90",-78.966347,35.968933
"91",-78.967026,35.968151
"92",-78.96611,35.967876
"93",-79.032352,35.956329
"94",-80.73842,35.152578
"95",-81.016708,35.107367
"96",-81.144527,34.129587
"97",-78.966743,35.968536
"98",-79.102317,35.729122
"99",-80.738147,35.152855
"100",-78.965973,35.969139
"101",-78.965973,35.969139
"102",-79.035036,35.954416
"103",-80.949231,35.398437
"104",-80.52012,34.652785
"105",-79.048364,35.990528
"106",-81.157119,35.356742
"107",-81.162078,35.35877
"108",-80.520363,34.653075
"109",-78.766763,35.721449
"110",-78.932,36.072053
"111",-78.7333,35.817805
"112",-78.809644,35.756905
"113",-78.753626,35.71826
"114",-78.856247,36.084281
"115",-79.060861,35.984064
"116",-78.711571,35.70269
"117",-79.048167,35.989828
"118",-78.726364,35.817116
"119",-78.759132,35.717995
"120",-78.966614,35.968849
"121",-83.266839,33.733088
"122",-83.262779,33.733172
"123",-78.791392,35.798549
"124",-78.964047,35.969243
"125",-78.966629,35.96891
"126",-83.359154,33.880905
"127",-81.270247,34.551039
"128",-83.351184,33.878318
"129",-78.919195,35.819496
"130",-83.297705,33.894147
"131",-78.788452,36.142698
"132",-79.061587,35.984188
"133",-78.857546,36.071441
"134",-78.868846,36.072388
"135",-78.866506,36.068921
"136",-78.850328,36.068553
"137",-83.340302,33.936424
"138",-78.963845,36.062103
"139",-78.858517,35.054781
"140",-81.849972,34.592917
"141",-82.099472,34.387333
"142",-79.012681,36.07272
"143",-78.658306,35.708859
"144",-78.966468,35.968568
"145",-78.964851,36.061703
"146",-82.168939,35.952972
"147",-83.68,35.95
"148",-83.68,35.95
"149",-80.101347,35.536409
"150",-79.066437,35.927878
"151",-80.086437,35.41903
"152",-79.053061,36.030908
"153",-79.006638,36.086783
"154",-77.448541,36.326083
"155",-77.45396,36.327424
"156",-79.062914,35.980922
"157",-79.059536,35.977273
"158",-78.855722,36.070441
"159",-81.023483,35.47195
"160",-80.022511,35.413925
"161",-80.022511,35.413925
"162",-78.92908,36.07076
"163",-79.063107,35.98067
"164",-84.614468,33.382863
"165",-84.613781,33.383508
"166",-79.022255,35.895308
"167",-78.853208,36.069345
"168",-79.2346,37.939
"169",-80.5583,37.3366
"170",-78.947053,35.986603
"171",-79.94815,35.72033
"172",-79.062375,35.986425
"173",-79.062095,35.984244
"174",-78.868754,36.073063
"175",-79.026731,35.879867
"176",-80.9877,33.9922
"177",-79.057734,35.987211
"178",-79.057715,35.987113
"179",-90.266667,38.616667
"180",-79.062251,35.984098
"181",-79.057874,35.987015
"182",-78.658098,35.97333
"183",-78.726364,35.817116
"184",-79.062048,35.983886
"185",-79.06207,35.984299
"186",-78.896908,36.091293
"187",-78.754056,35.718469
"188",-80.5371,34.6499
"189",-80.5154,34.6549
"190",-79.2528,35.544992
"191",-80.2958,35.1417
"192",-79.9186,35.0222
"193",-73.873141,40.860281
"194",-73.873141,40.860281
"195",-73.873143,40.860229
"196",-73.873127,40.860277
"197",-73.873127,40.860277
"198",-73.873685,40.860144
"199",-73.873127,40.860277
"200",-85.008983,35.252794
"201",-79.147683,35.778083
"202",-78.697987,35.793081
"203",-79.268611,35.911111
"204",-79.268611,35.911111
"205",-80.5218,34.6545
"206",-80.083333,35.416667
"207",-80.0878,35.4228
"208",-80.750278,34.373056
"209",-82.0424,33.707
"210",-82.12,33.62
"211",-80.08333,35.43333
"212",-82.6108,34.0486
"213",-82.6075,34.0425
"214",-79.158101,35.618176
"215",-86.57,34.73
"216",-84.708268,34.566476
"217",-79.193331,35.57918
"218",-85.410587,35.371148
"219",-83.377936,33.960948
"220",-82.25027,33.55
"221",-81.974838,33.47097
"222",-84.1453,33.8056
"223",-82.6467,34.518857
"224",-78.638614,35.772096
"225",-84.708268,34.566476
"226",-79.193331,35.57918
"227",-85.410587,35.371148
"228",-83.377936,33.960948
"229",-82.25027,33.55
"230",-81.974838,33.47097
"231",-84.1453,33.8056
"232",-82.6467,34.518857
"233",-78.638614,35.772096
"234",-84.14583,33.80611
