"","decimalLongitude","decimalLatitude"
"1",-81.049692,33.977411
"2",-85.895266,31.78967
"3",-85.895233,31.789633
"4",-85.89536,31.78978
"5",-80.368835,43.814721
"6",-85.895336,31.789694
"7",-86.37321,32.450766
"8",-84.291647,30.891244
"9",-86.57,33.85
"10",-84.321205,33.772287
"11",-79.994501,33.348214
"12",-84.32271,33.776457
"13",-84.324045,33.775377
"14",-78.758552,35.717468
"15",-84.307434,33.471114
"16",-84.322296,33.771715
"17",-84.306045,33.471957
"18",-89.785629,32.0022
"19",-89.685442,32.001166
"20",-86.525131,34.746635
"21",-85.925823,32.608694
"22",-85.482438,32.594326
"23",-89.677008,32.175488
"24",-89.787228,32.14887
"25",-94.643845,31.630593
"26",-91.441711,35.699904
"27",-82.369673,36.389772
"28",-82.313144,35.269608
"29",-92.771557,34.656404
"30",-77.136689,35.031164
"31",-79.15541,35.612325
"32",-92.493133,34.84003
"33",-92.602545,34.78411
"34",-82.303422,35.221005
"35",-84.278014,33.857832
"36",-77.132097,38.828848
"37",-82.279644,35.226657
"38",-86.322064,33.477142
"39",-84.55023,35.235547
"40",-82.27421,35.224682
"41",-92.5253,35.642877
"42",-77.479645,37.526405
"43",-92.493474,34.84014
"44",-79.439442,35.991502
"45",-83.493532,33.99085
"46",-77.02819,38.982382
"47",-86.57,33.85
"48",-85.520217,32.095155
"49",-92.477637,35.286609
"50",-77.484458,37.536971
"51",-81.180358,35.817422
"52",-84.4014,33.950014
"53",-80.737787,35.152608
"54",-82.298722,35.220488
"55",-78.938848,36.010057
"56",-77.048014,38.986481
"57",-78.871933,36.069458
"58",-77.251471,39.028328
"59",-78.162558,38.212063
"60",-83.92314,33.248659
"61",-83.151016,34.683587
"62",-77.482497,37.527728
"63",-82.25518,36.346108
"64",-84.318867,33.460925
"65",-84.305563,33.471634
"66",-89.210162,37.672333
"67",-83.721992,32.867263
"68",-87.243775,34.38325
"69",-84.401025,33.95054
"70",-84.274373,37.918864
"71",-81.019189,35.102624
"72",-77.281357,38.938579
"73",-83.378055,34.034939
"74",-93.958152,36.296833
"75",-83.86985,35.957132
"76",-86.06492,34.425838
"77",-85.364756,35.009728
"78",-78.84856,36.068024
"79",-83.379502,34.037232
"80",-76.798378,38.883325
"81",-85.641091,35.810927
"82",-92.526126,35.643471
"83",-85.633929,35.808274
"84",-92.521662,35.643178
"85",-77.463207,38.836247
"86",-81.018523,35.102462
"87",-79.812028,36.613888
"88",-78.89845,37.788241
"89",-79.050972,36.032039
"90",-78.775392,35.764633
"91",-74.905428,40.914946
"92",-86.229332,36.523001
"93",-91.207987,38.017322
