"","decimalLongitude","decimalLatitude"
"1",-83.671565,37.783597
"2",-83.571579,37.797142
"3",-79.26085,42.38248
"4",-84.399263,33.778617
"5",-73.114023,42.488133
"6",-73.201917,42.173692
"7",-79.43285,42.34464
"8",-72.371119,43.915006
"9",-85.480842,34.837578
"10",-85.37575,34.709311
"11",-86.053475,34.474658
"12",-72.357895,42.623028
"13",-85.686312,34.28975
"14",-82.171363,35.270927
"15",-73.270683,42.092877
"16",-73.114062,42.488035
"17",-72.655416,43.070669
"18",-73.257097,42.10653
"19",-80.507127,43.512339
"20",-86.57,33.85
"21",-85.608596,35.455796
"22",-82.298722,35.220488
"23",-87.119173,34.456535
"24",-86.099026,34.987436
"25",-82.302985,35.221086
"26",-85.021996,35.52605
"27",-85.466168,34.889605
"28",-81.381783,36.411845
"29",-85.362404,35.010342
"30",-87.798088,34.621278
"31",-81.016773,35.101593
"32",-80.586502,43.493817
"33",-82.238448,35.208169
"34",-79.155136,36.070057
"35",-87.403801,34.308053
"36",-82.190074,35.713109
"37",-84.282829,33.751312
"38",-84.497804,36.131198
"39",-85.367249,35.00425
"40",-83.310846,35.51976
"41",-87.307211,36.556492
"42",-83.306114,35.513054
"43",-77.876589,37.665277
"44",-83.605387,34.679133
"45",-84.382654,33.985343
"46",-83.802912,34.717658
"47",-78.84168,42.44382
"48",-86.256082,33.970075
"49",-84.078687,34.155462
"50",-85.37971,34.711437
"51",-83.681862,34.724138
"52",-85.731262,32.977683
"53",-82.483201,36.489667
"54",-83.319435,35.518209
"55",-83.707387,37.772131
"56",-81.180358,35.817422
"57",-80.802391,35.493114
"58",-83.502627,35.687871
"59",-83.342347,34.891892
"60",-84.323503,33.777447
"61",-81.412788,35.659088
"62",-83.629706,37.797095
"63",-86.568862,33.876331
"64",-84.340512,36.840271
"65",-85.44538,36.132881
"66",-86.159669,37.155305
"67",-83.688375,37.77692
"68",-79.906792,40.43547
"69",-82.772072,37.078422
"70",-83.578372,35.657934
"71",-85.444442,36.132075
"72",-85.456192,34.613956
"73",-83.205116,35.752403
"74",-84.541664,36.726665
"75",-83.538466,35.68901
"76",-86.103185,35.491184
"77",-80.621902,43.468723
"78",-79.017109,35.984158
"79",-85.69461,36.981614
"80",-73.975404,40.76658
"81",-73.975294,40.766186
"82",-87.357833,35.262897
"83",-86.103625,37.187193
"84",-83.934181,35.353443
"85",-85.124103,36.451458
"86",-85.597221,35.416389
"87",-83.338265,35.704395
"88",-83.406563,35.728287
"89",-83.39343,35.69052
"90",-82.307831,35.275035
"91",-84.215782,37.496777
"92",-84.313792,33.87416
"93",-81.63969,38.274188
"94",-86.103185,35.491184
"95",-80.033233,36.191436
"96",-78.149742,38.530913
"97",-82.095292,36.166523
"98",-81.117905,35.967066
"99",-81.459606,41.251963
"100",-84.322783,33.776975
"101",-84.3237,33.77203
"102",-84.374025,34.815404
"103",-80.089067,41.066363
"104",-78.968047,36.061795
"105",-83.200046,35.05616
"106",-79.06292,35.973114
"107",-77.033007,39.057891
"108",-73.957432,40.795097
"109",-82.724814,35.280587
"110",-80.177421,40.939522
"111",-79.527322,40.561092
"112",-84.543371,33.839582
"113",-77.21075,38.85374
"114",-79.906655,40.436188
"115",-79.02195,35.963631
"116",-83.608719,37.839039
"117",-85.597559,35.416455
"118",-85.597226,35.416278
"119",-83.667433,37.818397
"120",-77.690855,38.882877
"121",-81.343207,41.630197
"122",-84.339266,33.7441
"123",-73.97472,40.767052
"124",-73.975207,40.766715
"125",-73.975066,40.766565
"126",-73.97524,40.767066
"127",-75.052335,45.198328
"128",-75.051301,45.197232
"129",-83.173888,35.340367
"130",-78.593582,44.885097
"131",-86.57,33.85
"132",-83.6463,35.675758
"133",-75.110691,40.074271
"134",-83.347722,35.703517
"135",-78.784001,35.723894
"136",-82.758092,35.32273
"137",-83.236401,35.592576
"138",-83.357318,35.702693
"139",-79.914847,36.1418
"140",-87.799949,34.621435
"141",-87.801888,34.633897
"142",-79.16304,42.3191
"143",-82.795737,35.283046
"144",-82.177995,35.817547
"145",-83.744089,37.794849
"146",-84.306045,33.471957
"147",-74.946702,40.32838
