"","decimalLongitude","decimalLatitude"
"1",-84.730014,34.868208
"2",-87.411039,34.337112
"3",-77.518677,37.543605
"4",-81.016591,35.101864
"5",-85.480864,34.837165
"6",-83.117408,35.746792
"7",-84.24652,34.56612
"8",-84.451357,34.624308
"9",-76.995284,38.98075
"10",-84.450573,33.90939
"11",-78.735222,35.837217
"12",-85.11148,34.974784
"13",-82.336332,35.274219
"14",-80.944838,35.404953
"15",-84.236007,34.576187
"16",-77.483825,37.53878
"17",-77.118353,38.86081
"18",-77.2069,38.9767
"19",-84.238957,37.56329
"20",-79.007285,35.981046
"21",-78.752711,35.843305
"22",-86.859178,33.619908
"23",-85.380208,34.711675
"24",-79.05365,35.994683
"25",-83.492978,35.636047
"26",-85.184517,34.996883
"27",-86.786869,33.462207
"28",-84.306045,33.471957
"29",-78.472855,37.996328
"30",-84.244602,37.536577
"31",-82.315223,37.77462
"32",-77.4684,37.523483
"33",-78.757628,35.718011
"34",-84.245582,37.53819
"35",-86.787059,33.46233
"36",-86.57,33.85
"37",-83.864737,35.601022
"38",-85.232986,35.232372
"39",-86.57,33.85
"40",-86.208258,34.372783
"41",-85.804498,36.081797
"42",-86.054672,34.942856
"43",-85.565807,36.252971
"44",-79.002005,35.980482
"45",-78.854271,36.070583
"46",-85.543747,36.166722
"47",-78.755743,35.717624
"48",-83.933334,35.356945
"49",-85.234209,35.234239
"50",-86.539108,34.717145
"51",-81.98526,35.423452
"52",-79.037445,35.915175
"53",-87.130996,34.573778
"54",-79.147758,35.779625
"55",-78.7556,35.717929
"56",-80.947693,35.400078
"57",-79.011872,36.085608
"58",-83.694397,36.601112
"59",-81.180358,35.817422
"60",-78.964073,35.969193
"61",-84.826395,36.53093
"62",-84.210587,37.591934
"63",-86.737175,32.06319
"64",-83.527192,35.697578
"65",-85.56726,36.258323
"66",-83.388328,35.696587
"67",-80.296897,36.152553
"68",-80.348357,36.800437
"69",-78.481085,38.0502
"70",-85.362411,35.130669
"71",-82.56601,35.61247
"72",-78.817693,36.00603
"73",-79.004076,36.017077
"74",-83.645622,36.617275
"75",-78.481498,38.049266
"76",-82.255575,35.438137
"77",-83.852567,35.591113
"78",-84.878768,33.7077
"79",-82.48552,35.655208
"80",-83.58622,35.320999
"81",-85.740949,36.041264
"82",-78.755455,35.717457
"83",-78.754677,35.71825
"84",-82.298722,35.220488
"85",-83.617324,35.752601
"86",-84.161392,33.999443
"87",-83.387221,33.926371
"88",-83.441236,33.761207
"89",-79.010902,36.04142
"90",-84.227587,37.541195
"91",-78.726118,38.229972
"92",-77.278081,39.043185
"93",-85.234817,35.237873
"94",-87.798079,34.621369
"95",-86.52446,34.746586
"96",-81.01715,35.102256
