"","decimalLongitude","decimalLatitude"
"1",-75.276779,40.052997
"2",-77.416895,40.278838
"3",-93.38223,34.51582
"4",-93.38684,34.51174
"5",-93.38769,34.510969
"6",-77.07943,39.213089
"7",-79.149022,36.060474
"8",-93.37644,34.522033
"9",-76.798282,38.88662
"10",-78.69483,38.925043
"11",-79.860823,43.315165
"12",-79.14908,36.060373
"13",-76.835392,39.140696
"14",-86.859305,33.619867
"15",-77.928558,39.059114
"16",-83.572475,37.799177
"17",-93.59891,34.48022
"18",-93.59233,34.47617
"19",-76.445672,39.426962
"20",-76.588285,39.464776
"21",-93.923193,34.371776
"22",-93.901367,34.363911
"23",-93.953031,34.37666
"24",-93.93909,34.37457
"25",-79.005525,35.98013
"26",-77.531342,39.13185
"27",-72.569766,42.296272
"28",-77.079331,39.212908
"29",-76.641514,39.605603
"30",-80.114802,37.454534
"31",-76.699616,39.694503
"32",-81.440277,41.238248
"33",-84.524304,36.727552
"34",-80.228228,36.221428
"35",-83.493358,33.990755
"36",-79.159554,36.134357
"37",-84.436737,33.890595
"38",-78.668809,35.591487
"39",-74.547333,40.784186
"40",-73.943863,41.837733
"41",-79.159592,36.134495
"42",-82.136867,39.436212
"43",-78.759949,35.718176
"44",-77.98912,42.602641
"45",-83.446583,33.763967
"46",-93.889202,34.385658
"47",-74.406319,40.949151
"48",-79.04373,37.370483
"49",-76.709222,39.625013
"50",-93.42183,35.90363
"51",-93.896012,34.424733
"52",-76.58722,39.472767
"53",-78.99697,35.980194
"54",-79.03171,35.990999
"55",-93.387578,34.510495
"56",-78.956696,36.165376
"57",-79.779493,40.306012
"58",-93.922988,34.371672
"59",-77.52398,39.122233
"60",-79.007978,36.076005
"61",-77.135147,35.029425
"62",-83.607605,33.666008
"63",-78.867958,36.074772
"64",-79.155303,35.61236
"65",-83.979516,42.409864
"66",-83.435739,38.196313
"67",-93.700187,36.256889
"68",-75.279354,40.053547
"69",-79.046005,35.889438
"70",-93.703179,36.253862
"71",-73.939413,42.049386
"72",-78.991133,36.04475
"73",-76.798303,38.88663
"74",-75.424401,40.025134
"75",-92.521972,35.642212
"76",-76.865973,39.342304
"77",-78.726364,35.817116
"78",-93.958152,36.296833
"79",-78.408363,38.52723
"80",-84.260728,35.767947
"81",-80.365253,43.307839
"82",-84.519083,42.67806
"83",-81.502124,41.292391
"84",-77.153183,39.040445
"85",-83.836656,42.550351
"86",-83.956402,42.438847
"87",-76.798242,38.8866
"88",-78.9916,36.045548
"89",-76.815566,39.310911
"90",-79.013183,35.98515
"91",-81.523889,35.938889
"92",-78.849553,36.069018
"93",-83.92314,33.248659
"94",-83.149106,34.684179
"95",-83.14917,34.684335
"96",-86.034574,42.616052
"97",-81.018957,35.102728
"98",-81.018645,35.102421
"99",-77.102877,39.397823
"100",-74.904044,40.916067
"101",-79.138764,35.944972
"102",-76.155985,44.396031
"103",-81.823387,35.90307
"104",-76.278213,39.608592
"105",-75.826371,44.496384
"106",-79.103364,35.840125
"107",-77.167962,39.016197
"108",-84.901842,34.906259
"109",-74.909587,40.911601
"110",-78.844187,36.135906
"111",-75.720931,39.705878
"112",-80.944328,35.404695
"113",-78.640334,37.40334
"114",-82.171363,35.270927
"115",-84.063181,36.213645
"116",-74.616383,40.914224
"117",-77.079536,39.213017
"118",-87.396417,34.28178
"119",-80.032264,36.190711
"120",-80.358021,43.267027
"121",-74.62605,40.912132
"122",-80.362167,42.785747
"123",-84.746017,32.849189
"124",-79.191354,35.875213
"125",-78.999062,36.008147
"126",-76.798217,38.886575
"127",-79.043878,37.370525
"128",-79.007285,35.981046
"129",-76.770867,44.556257
